score_frame,audio_frame
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
1,8
2,9
3,10
4,11
5,12
6,13
7,14
8,15
9,16
10,17
11,18
12,19
13,20
14,21
15,22
16,23
17,24
18,25
19,26
20,27
21,28
22,29
23,30
24,31
25,32
26,33
27,34
28,35
29,36
30,37
31,38
32,39
33,40
34,41
35,42
36,43
37,44
38,45
39,46
40,47
40,48
40,49
40,50
40,51
40,52
40,53
40,54
40,55
40,56
41,57
42,58
43,59
44,60
45,61
46,62
47,63
48,64
49,65
50,66
51,67
52,68
53,69
54,70
55,71
56,72
57,73
58,74
59,75
60,76
60,77
60,78
60,79
60,80
60,81
60,82
60,83
60,84
60,85
60,86
60,87
60,88
60,89
60,90
60,91
60,92
61,93
62,94
63,95
64,96
65,97
66,98
67,99
68,100
69,101
70,102
71,103
72,104
73,105
74,106
75,107
76,108
77,109
78,110
79,111
80,112
80,113
80,114
80,115
80,116
80,117
80,118
80,119
80,120
80,121
80,122
80,123
80,124
80,125
80,126
80,127
80,128
80,129
80,130
80,131
80,132
80,133
80,134
80,135
80,136
80,137
80,138
80,139
80,140
80,141
80,142
80,143
80,144
80,145
81,146
82,147
83,148
84,149
85,150
86,151
87,152
88,153
89,154
90,155
91,156
92,157
93,158
94,159
95,160
96,161
97,162
98,163
99,164
100,165
101,166
102,167
103,168
104,169
105,170
106,171
107,172
108,173
109,174
110,175
111,176
112,177
113,178
114,179
115,180
116,181
117,182
118,183
119,184
120,185
120,186
120,187
120,188
120,189
120,190
120,191
120,192
120,193
120,194
120,195
120,196
120,197
120,198
120,199
120,200
120,201
120,202
120,203
120,204
120,205
120,206
120,207
120,208
120,209
120,210
120,211
120,212
120,213
120,214
120,215
120,216
120,217
120,218
120,219
120,220
120,221
120,222
120,223
120,224
120,225
120,226
120,227
120,228
120,229
120,230
120,231
120,232
120,233
120,234
120,235
120,236
120,237
120,238
120,239
120,240
120,241
120,242
120,243
120,244
120,245
120,246
120,247
120,248
120,249
120,250
120,251
120,252
120,253
120,254
120,255
120,256
120,257
120,258
120,259
120,260
120,261
121,262
122,263
123,264
124,265
125,266
126,267
127,268
128,269
129,270
130,271
131,272
132,273
133,274
134,275
135,276
136,277
137,278
138,279
139,280
140,281
141,282
142,283
143,284
144,285
145,286
146,287
147,288
148,289
149,290
150,291
151,292
152,293
153,294
154,295
155,296
156,297
157,298
158,299
159,300
160,301
160,302
160,303
160,304
160,305
161,306
162,307
163,308
164,309
165,310
166,311
167,312
168,313
169,314
170,315
171,316
172,317
173,318
174,319
175,320
176,321
177,322
178,323
179,324
180,325
181,326
182,327
183,328
184,329
185,330
186,331
187,332
188,333
189,334
190,335
191,336
192,337
193,338
194,339
195,340
196,341
197,342
198,343
199,344
200,345
200,346
200,347
200,348
200,349
200,350
200,351
200,352
201,353
202,354
203,355
204,356
205,357
206,358
207,359
208,360
209,361
210,362
211,363
212,364
213,365
214,366
215,367
216,368
217,369
218,370
219,371
220,372
220,373
220,374
220,375
220,376
220,377
220,378
221,379
222,380
223,381
224,382
225,383
226,384
227,385
228,386
229,387
230,388
231,389
232,390
233,391
234,392
235,393
236,394
237,395
238,396
239,397
240,398
240,399
240,400
240,401
240,402
240,403
240,404
240,405
240,406
240,407
240,408
240,409
240,410
240,411
240,412
240,413
240,414
240,415
240,416
240,417
240,418
240,419
240,420
240,421
240,422
240,423
240,424
240,425
240,426
240,427
240,428
240,429
240,430
240,431
240,432
240,433
240,434
240,435
241,436
242,437
243,438
244,439
245,440
246,441
247,442
248,443
249,444
250,445
251,446
252,447
253,448
254,449
255,450
256,451
257,452
258,453
259,454
260,455
261,456
262,457
263,458
264,459
265,460
266,461
267,462
268,463
269,464
270,465
271,466
272,467
273,468
274,469
275,470
276,471
277,472
278,473
279,474
280,475
281,476
282,477
283,478
284,479
285,480
286,481
287,482
288,483
289,484
290,485
291,486
292,487
293,488
294,489
295,490
296,491
297,492
298,493
299,494
300,495
301,496
302,497
303,498
304,499
305,500
306,501
307,502
308,503
309,504
310,505
311,506
312,507
313,508
314,509
315,510
316,511
317,512
318,513
319,514
320,515
320,516
320,517
320,518
320,519
320,520
320,521
320,522
320,523
320,524
320,525
320,526
320,527
320,528
320,529
320,530
320,531
320,532
320,533
320,534
320,535
320,536
320,537
320,538
320,539
320,540
320,541
320,542
320,543
320,544
320,545
320,546
