score_frame,audio_frame
0,2
1,4
2,6
3,6
4,8
5,8
6,10
7,10
8,12
9,12
10,14
11,14
12,16
13,16
14,18
15,18
16,20
17,20
18,22
19,22
20,24
21,24
22,26
23,26
24,28
25,28
26,30
27,30
28,32
29,32
30,34
31,34
32,36
33,36
34,38
35,38
36,40
37,40
38,42
39,44
40,50
41,52
42,54
43,54
44,56
45,56
46,58
47,58
48,60
49,60
50,62
51,62
52,64
53,64
54,66
55,66
56,68
57,68
58,70
59,72
60,80
61,85
62,86
63,87
64,88
65,89
66,90
67,91
68,92
69,93
70,94
71,95
72,96
73,97
74,98
75,99
76,100
77,101
78,102
79,107
80,120
81,130
82,130
83,132
84,132
85,134
86,134
87,136
88,136
89,138
90,138
91,140
92,140
93,142
94,142
95,144
96,144
97,146
98,146
99,148
100,148
101,150
102,150
103,152
104,152
105,154
106,154
107,156
108,156
109,158
110,158
111,160
112,160
113,162
114,162
115,164
116,164
117,166
118,166
119,176
120,204
121,224
122,225
123,226
124,227
125,228
126,229
127,230
128,231
129,232
130,233
131,234
132,235
133,236
134,237
135,238
136,239
137,240
138,241
139,242
140,243
141,244
142,245
143,246
144,247
145,248
146,249
147,250
148,251
149,252
150,253
151,254
152,255
153,256
154,257
155,258
156,259
157,260
158,261
159,281
160,302
161,304
162,305
163,306
164,307
165,308
166,309
167,310
168,311
169,312
170,313
171,314
172,315
173,316
174,317
175,318
176,319
177,320
178,321
179,322
180,323
181,324
182,325
183,326
184,327
185,328
186,329
187,330
188,331
189,332
190,333
191,334
192,335
193,336
194,337
195,338
196,339
197,340
198,341
199,343
200,346
201,350
202,350
203,352
204,352
205,354
206,354
207,356
208,356
209,358
210,358
211,360
212,360
213,362
214,362
215,364
216,364
217,366
218,366
219,370
220,374
221,376
222,377
223,378
224,379
225,380
226,381
227,382
228,383
229,384
230,385
231,386
232,387
233,388
234,389
235,390
236,391
237,392
238,393
239,396
240,407
241,418
242,418
243,420
244,420
245,422
246,422
247,424
248,424
249,426
250,426
251,428
252,428
253,430
254,430
255,432
256,432
257,434
258,434
259,436
260,436
261,438
262,438
263,440
264,440
265,442
266,442
267,444
268,444
269,446
270,446
271,448
272,448
273,450
274,450
275,452
276,452
277,454
278,454
279,456
280,456
281,458
282,458
283,460
284,460
285,462
286,462
287,464
288,464
289,466
290,466
291,468
292,468
293,470
294,470
295,472
296,472
297,474
298,474
299,476
300,476
301,478
302,478
303,480
304,480
305,482
306,482
307,484
308,484
309,486
310,486
311,488
312,488
313,490
314,490
315,492
316,492
317,494
318,494
319,505
320,524
321,534
322,535
323,536
324,537
325,538
326,539
327,540
328,541
329,542
330,543
331,544
332,545
333,546
334,547
335,548
336,549
337,550
338,551
339,552
340,553
341,554
342,555
343,556
344,557
345,558
346,559
347,560
348,561
349,562
350,563
351,564
352,565
353,566
354,567
355,568
356,569
357,570
358,571
359,581
360,591
361,592
362,593
363,594
364,595
365,596
366,597
367,598
368,599
369,600
370,601
371,602
372,603
373,604
374,605
375,606
376,607
377,608
378,609
379,610
380,613
381,616
382,617
383,618
384,619
385,620
386,621
387,622
388,623
389,624
390,625
391,626
392,627
393,628
394,629
395,630
396,631
397,632
398,633
399,636
400,640
401,640
402,642
403,642
404,644
405,644
406,646
407,646
408,648
409,648
410,650
411,650
412,652
413,652
414,654
415,654
416,656
417,656
418,658
419,658
420,666
421,672
422,673
423,674
424,675
425,676
426,677
427,678
428,679
429,680
430,681
431,682
432,683
433,684
434,685
435,686
436,687
437,688
438,689
439,690
440,691
441,692
442,693
443,694
444,695
445,696
446,697
447,698
448,699
449,700
450,701
451,702
452,703
453,704
454,705
455,706
456,707
457,708
458,709
459,716
460,722
461,723
462,724
463,725
464,726
465,727
466,728
467,729
468,730
469,731
470,732
471,733
472,734
473,735
474,736
475,737
476,738
477,739
478,740
479,741
480,761
481,781
482,782
483,783
484,784
485,785
486,786
487,787
488,788
489,789
490,790
491,791
492,792
493,793
494,794
495,795
496,796
497,797
498,798
499,799
500,800
501,801
502,802
503,803
504,804
505,805
506,806
507,807
508,808
509,809
510,810
511,811
512,812
513,813
514,814
515,815
516,816
517,817
518,818
519,819
520,820
521,821
522,822
523,823
524,824
525,825
526,826
527,827
528,828
529,829
530,830
531,831
532,832
533,833
534,834
535,835
536,836
537,837
538,838
539,858
540,878
541,879
542,880
543,881
544,882
545,883
546,884
547,885
548,886
549,887
550,888
551,889
552,890
553,891
554,892
555,893
556,894
557,895
558,896
559,897
560,898
561,899
562,900
563,901
564,902
565,903
566,904
567,905
568,906
569,907
570,908
571,909
572,910
573,911
574,912
575,913
576,914
577,915
578,916
579,917
580,925
581,934
582,934
583,936
584,936
585,938
586,938
587,940
588,940
589,942
590,942
591,944
592,944
593,946
594,946
595,948
596,948
597,950
598,950
599,952
600,952
601,954
602,954
603,956
604,956
605,958
606,958
607,960
608,960
609,962
610,962
611,964
612,964
613,966
614,966
615,968
616,968
617,970
618,970
619,979
620,996
621,1004
622,1006
623,1006
624,1008
625,1008
626,1010
627,1010
628,1012
629,1012
630,1014
631,1014
632,1016
633,1016
634,1018
635,1018
636,1020
637,1020
638,1022
639,1030
640,1048
641,1057
642,1058
643,1059
644,1060
645,1061
646,1062
647,1063
648,1064
649,1065
650,1066
651,1067
652,1068
653,1069
654,1070
655,1071
656,1072
657,1073
658,1074
659,1075
660,1076
661,1077
662,1078
663,1079
664,1080
665,1081
666,1082
667,1083
668,1084
669,1085
670,1086
671,1087
672,1088
673,1089
674,1090
675,1091
676,1092
677,1093
678,1094
679,1095
680,1096
681,1097
682,1098
683,1099
684,1100
685,1101
686,1102
687,1103
688,1104
689,1105
690,1106
691,1107
692,1108
693,1109
694,1110
695,1111
696,1112
697,1113
698,1114
699,1123
700,1132
701,1133
702,1134
703,1135
704,1136
705,1137
706,1138
707,1139
708,1140
709,1141
710,1142
711,1143
712,1144
713,1145
714,1146
715,1147
716,1148
717,1149
718,1150
719,1151
720,1160
721,1168
722,1169
723,1170
724,1171
725,1172
726,1173
727,1174
728,1175
729,1176
730,1177
731,1178
732,1179
733,1180
734,1181
735,1182
736,1183
737,1184
738,1185
739,1186
740,1187
741,1188
742,1189
743,1190
744,1191
745,1192
746,1193
747,1194
748,1195
749,1196
750,1197
751,1198
752,1199
753,1200
754,1201
755,1202
756,1203
757,1204
758,1205
759,1214
760,1222
761,1223
762,1224
763,1225
764,1226
765,1227
766,1228
767,1229
768,1230
769,1231
770,1232
771,1233
772,1234
773,1235
774,1236
775,1237
776,1238
777,1239
778,1240
779,1241
780,1246
781,1252
782,1252
783,1254
784,1254
785,1256
786,1256
787,1258
788,1258
789,1260
790,1260
791,1262
792,1262
793,1264
794,1264
795,1266
796,1266
797,1268
798,1268
799,1274
800,1279
801,1280
802,1281
803,1282
804,1283
805,1284
806,1285
807,1286
808,1287
809,1288
810,1289
811,1290
812,1291
813,1292
814,1293
815,1294
816,1295
817,1296
818,1297
819,1298
820,1299
821,1300
822,1301
823,1302
824,1303
825,1304
826,1305
827,1306
828,1307
829,1308
830,1309
831,1310
832,1311
833,1312
834,1313
835,1314
836,1315
837,1316
838,1317
839,1318
840,1336
841,1354
842,1356
843,1356
844,1358
845,1358
846,1360
847,1360
848,1362
849,1362
850,1364
851,1364
852,1366
853,1366
854,1368
855,1368
856,1370
857,1370
858,1372
859,1372
860,1374
861,1374
862,1376
863,1376
864,1378
865,1378
866,1380
867,1380
868,1382
869,1382
870,1384
871,1384
872,1386
873,1386
874,1388
875,1388
876,1390
877,1390
878,1392
879,1410
880,1431
881,1434
882,1436
883,1436
884,1438
885,1438
886,1440
887,1440
888,1442
889,1442
890,1444
891,1444
