onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,divs_pq
0.0,0.5,0.0,0.5,0,1,50,1,P03_p3n0,2
0.0,0.5,0.0,0.5,0,1,62,1,P00_p0n0,2
0.0,0.5,0.0,0.5,0,1,62,1,P01_p1n0,2
0.0,0.5,0.0,0.5,0,1,62,1,P02_p2n0,2
0.5,0.5,0.5,0.5,1,1,50,1,P03_p3n1,2
0.5,0.5,0.5,0.5,1,1,62,1,P01_p1n1,2
0.5,0.5,0.5,0.5,1,1,62,1,P00_p0n1,2
0.5,0.5,0.5,0.5,1,1,62,1,P02_p2n1,2
1.0,0.5,1.0,0.5,2,1,50,1,P03_p3n2,2
1.0,0.5,1.0,0.5,2,1,62,1,P01_p1n2,2
1.0,0.5,1.0,0.5,2,1,62,1,P02_p2n2,2
1.0,0.5,1.0,0.5,2,1,64,1,P00_p0n2,2
1.5,0.5,1.5,0.5,3,1,50,1,P03_p3n3,2
1.5,0.5,1.5,0.5,3,1,62,1,P01_p1n3,2
1.5,0.5,1.5,0.5,3,1,62,1,P02_p2n3,2
1.5,0.5,1.5,0.5,3,1,66,1,P00_p0n3,2
2.0,1.0,2.0,1.0,4,2,50,1,P03_p3n4,2
2.0,1.0,2.0,1.0,4,2,59,1,P02_p2n4,2
2.0,1.0,2.0,1.0,4,2,62,1,P01_p1n4,2
2.0,1.0,2.0,1.0,4,2,67,1,P00_p0n4,2
3.0,1.0,3.0,1.0,6,2,50,1,P03_p3n5,2
3.0,1.0,3.0,1.0,6,2,57,1,P02_p2n5,2
3.0,1.0,3.0,1.0,6,2,62,1,P01_p1n5,2
3.0,1.0,3.0,1.0,6,2,66,1,P00_p0n5,2
4.0,0.5,4.0,0.5,8,1,62,1,P01_p1n6,2
4.0,0.5,4.0,0.5,8,1,62,1,P03_p3n6,2
4.0,0.5,4.0,0.5,8,1,62,1,P02_p2n6,2
4.0,0.5,4.0,0.5,8,1,66,1,P00_p0n6,2
4.5,0.5,4.5,0.5,9,1,62,1,P01_p1n7,2
4.5,0.5,4.5,0.5,9,1,62,1,P03_p3n7,2
4.5,0.5,4.5,0.5,9,1,62,1,P02_p2n7,2
4.5,0.5,4.5,0.5,9,1,66,1,P00_p0n7,2
5.0,0.5,5.0,0.5,10,1,62,1,P03_p3n8,2
5.0,0.5,5.0,0.5,10,1,62,1,P02_p2n8,2
5.0,0.5,5.0,0.5,10,1,64,1,P01_p1n8,2
5.0,0.5,5.0,0.5,10,1,67,1,P00_p0n8,2
5.5,0.5,5.5,0.5,11,1,62,1,P03_p3n9,2
5.5,0.5,5.5,0.5,11,1,62,1,P02_p2n9,2
5.5,0.5,5.5,0.5,11,1,66,1,P01_p1n9,2
5.5,0.5,5.5,0.5,11,1,69,1,P00_p0n9,2
6.0,2.0,6.0,2.0,12,4,59,1,P03_p3n10,2
6.0,2.0,6.0,2.0,12,4,62,1,P02_p2n10,2
6.0,2.0,6.0,2.0,12,4,66,1,P01_p1n10,2
6.0,2.0,6.0,2.0,12,4,71,1,P00_p0n10,2
8.0,1.0,8.0,1.0,16,2,59,1,P03_p3n11,2
8.0,1.0,8.0,1.0,16,2,62,1,P02_p2n11,2
8.0,1.0,8.0,1.0,16,2,66,1,P01_p1n11,2
8.0,1.0,8.0,1.0,16,2,69,1,P00_p0n11,2
9.5,0.5,9.5,0.5,19,1,69,1,P00_p0n13,2
10.0,0.5,10.0,0.5,20,1,71,1,P00_p0n14,2
10.5,1.0,10.5,1.0,21,2,69,1,P00_p0n15,2
11.5,0.5,11.5,0.5,23,1,67,1,P00_p0n16,2
12.0,0.5,12.0,0.5,24,1,66,1,P00_p0n17,2
12.5,1.0,12.5,1.0,25,2,66,1,P00_p0n18,2
13.5,0.5,13.5,0.5,27,1,50,1,P03_p3n18,2
13.5,0.5,13.5,0.5,27,1,57,1,P02_p2n16,2
13.5,0.5,13.5,0.5,27,1,62,1,P01_p1n16,2
13.5,1.0,13.5,1.0,27,2,62,1,P00_p0n19,2
14.0,0.5,14.0,0.5,28,1,50,1,P03_p3n19,2
14.0,0.5,14.0,0.5,28,1,59,1,P02_p2n17,2
14.0,0.5,14.0,0.5,28,1,62,1,P01_p1n17,2
14.5,1.0,14.5,1.0,29,2,50,1,P03_p3n20,2
14.5,1.0,14.5,1.0,29,2,57,1,P02_p2n18,2
14.5,1.0,14.5,1.0,29,2,62,1,P01_p1n18,2
14.5,1.0,14.5,1.0,29,2,62,1,P00_p0n21,2
14.5,1.0,14.5,1.0,29,2,66,1,P00_p0n22,2
15.5,0.5,15.5,0.5,31,1,45,1,P03_p3n21,2
15.5,0.5,15.5,0.5,31,1,55,1,P02_p2n19,2
15.5,0.5,15.5,0.5,31,1,61,1,P00_p0n23,2
15.5,0.5,15.5,0.5,31,1,61,1,P01_p1n19,2
15.5,0.5,15.5,0.5,31,1,64,1,P00_p0n24,2
16.0,0.5,16.0,0.5,32,1,50,1,P03_p3n22,2
16.0,0.5,16.0,0.5,32,1,54,1,P02_p2n20,2
16.0,0.5,16.0,0.5,32,1,57,1,P01_p1n20,2
16.0,0.5,16.0,0.5,32,1,62,1,P00_p0n25,2
16.5,1.0,16.5,1.0,33,2,50,1,P03_p3n23,2
16.5,1.0,16.5,1.0,33,2,54,1,P02_p2n21,2
16.5,1.0,16.5,1.0,33,2,57,1,P01_p1n21,2
16.5,1.0,16.5,1.0,33,2,62,1,P00_p0n26,2
18.0,0.5,18.0,0.5,36,1,50,1,P03_p3n25,2
18.0,0.5,18.0,0.5,36,1,54,1,P02_p2n23,2
18.0,0.5,18.0,0.5,36,1,62,1,P00_p0n28,2
18.0,0.5,18.0,0.5,36,1,62,1,P01_p1n23,2
18.5,0.5,18.5,0.5,37,1,50,1,P03_p3n26,2
18.5,0.5,18.5,0.5,37,1,54,1,P02_p2n24,2
18.5,0.5,18.5,0.5,37,1,62,1,P00_p0n29,2
18.5,0.5,18.5,0.5,37,1,62,1,P01_p1n24,2
19.0,0.5,19.0,0.5,38,1,50,1,P03_p3n27,2
19.0,0.5,19.0,0.5,38,1,55,1,P02_p2n25,2
19.0,0.5,19.0,0.5,38,1,62,1,P01_p1n25,2
19.0,0.5,19.0,0.5,38,1,64,1,P00_p0n30,2
19.5,0.5,19.5,0.5,39,1,50,1,P03_p3n28,2
19.5,0.5,19.5,0.5,39,1,57,1,P02_p2n26,2
19.5,0.5,19.5,0.5,39,1,62,1,P01_p1n26,2
19.5,0.5,19.5,0.5,39,1,66,1,P00_p0n31,2
20.0,1.0,20.0,1.0,40,2,50,1,P03_p3n29,2
20.0,1.0,20.0,1.0,40,2,59,1,P02_p2n27,2
20.0,1.0,20.0,1.0,40,2,62,1,P01_p1n27,2
20.0,1.0,20.0,1.0,40,2,67,1,P00_p0n32,2
21.0,1.0,21.0,1.0,42,2,50,1,P03_p3n30,2
21.0,1.0,21.0,1.0,42,2,57,1,P02_p2n28,2
21.0,1.0,21.0,1.0,42,2,62,1,P01_p1n28,2
21.0,1.0,21.0,1.0,42,2,66,1,P00_p0n33,2
22.0,0.5,22.0,0.5,44,1,62,1,P03_p3n31,2
22.0,0.5,22.0,0.5,44,1,62,1,P01_p1n29,2
22.0,0.5,22.0,0.5,44,1,62,1,P02_p2n29,2
22.0,0.5,22.0,0.5,44,1,66,1,P00_p0n34,2
22.5,0.5,22.5,0.5,45,1,62,1,P03_p3n32,2
22.5,0.5,22.5,0.5,45,1,62,1,P02_p2n30,2
22.5,0.5,22.5,0.5,45,1,62,1,P01_p1n30,2
22.5,0.5,22.5,0.5,45,1,66,1,P00_p0n35,2
23.0,0.5,23.0,0.5,46,1,62,1,P03_p3n33,2
23.0,0.5,23.0,0.5,46,1,62,1,P02_p2n31,2
23.0,0.5,23.0,0.5,46,1,64,1,P01_p1n31,2
23.0,0.5,23.0,0.5,46,1,67,1,P00_p0n36,2
23.5,0.5,23.5,0.5,47,1,62,1,P03_p3n34,2
23.5,0.5,23.5,0.5,47,1,62,1,P02_p2n32,2
23.5,0.5,23.5,0.5,47,1,66,1,P01_p1n32,2
23.5,0.5,23.5,0.5,47,1,69,1,P00_p0n37,2
24.0,2.0,24.0,2.0,48,4,59,1,P03_p3n35,2
