path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,1,8
9,2,9
10,3,10
11,4,11
12,5,12
13,6,13
14,7,14
15,8,15
16,9,16
17,10,17
18,11,18
19,12,19
20,13,20
21,14,21
22,15,22
23,16,23
24,17,24
25,18,25
26,19,26
27,20,27
28,21,28
29,22,29
30,23,30
31,24,31
32,25,32
33,26,33
34,27,34
35,28,35
36,29,36
37,30,37
38,31,38
39,32,39
40,33,40
41,34,41
42,35,42
43,36,43
44,37,44
45,38,45
46,39,46
47,40,47
48,40,48
49,40,49
50,40,50
51,40,51
52,40,52
53,40,53
54,40,54
55,40,55
56,40,56
57,41,57
58,42,58
59,43,59
60,44,60
61,45,61
62,46,62
63,47,63
64,48,64
65,49,65
66,50,66
67,51,67
68,52,68
69,53,69
70,54,70
71,55,71
72,56,72
73,57,73
74,58,74
75,59,75
76,60,76
77,60,77
78,60,78
79,60,79
80,60,80
81,60,81
82,60,82
83,60,83
84,60,84
85,60,85
86,60,86
87,60,87
88,60,88
89,60,89
90,60,90
91,60,91
92,60,92
93,61,93
94,62,94
95,63,95
96,64,96
97,65,97
98,66,98
99,67,99
100,68,100
101,69,101
102,70,102
103,71,103
104,72,104
105,73,105
106,74,106
107,75,107
108,76,108
109,77,109
110,78,110
111,79,111
112,80,112
113,80,113
114,80,114
115,80,115
116,80,116
117,80,117
118,80,118
119,80,119
120,80,120
121,80,121
122,80,122
123,80,123
124,80,124
125,80,125
126,80,126
127,80,127
128,80,128
129,80,129
130,80,130
131,80,131
132,80,132
133,80,133
134,80,134
135,80,135
136,80,136
137,80,137
138,80,138
139,80,139
140,80,140
141,80,141
142,80,142
143,80,143
144,80,144
145,80,145
146,81,146
147,82,147
148,83,148
149,84,149
150,85,150
151,86,151
152,87,152
153,88,153
154,89,154
155,90,155
156,91,156
157,92,157
158,93,158
159,94,159
160,95,160
161,96,161
162,97,162
163,98,163
164,99,164
165,100,165
166,101,166
167,102,167
168,103,168
169,104,169
170,105,170
171,106,171
172,107,172
173,108,173
174,109,174
175,110,175
176,111,176
177,112,177
178,113,178
179,114,179
180,115,180
181,116,181
182,117,182
183,118,183
184,119,184
185,120,185
186,120,186
187,120,187
188,120,188
189,120,189
190,120,190
191,120,191
192,120,192
193,120,193
194,120,194
195,120,195
196,120,196
197,120,197
198,120,198
199,120,199
200,120,200
201,120,201
202,120,202
203,120,203
204,120,204
205,120,205
206,120,206
207,120,207
208,120,208
209,120,209
210,120,210
211,120,211
212,120,212
213,120,213
214,120,214
215,120,215
216,120,216
217,120,217
218,120,218
219,120,219
220,120,220
221,120,221
222,120,222
223,120,223
224,120,224
225,120,225
226,120,226
227,120,227
228,120,228
229,120,229
230,120,230
231,120,231
232,120,232
233,120,233
234,120,234
235,120,235
236,120,236
237,120,237
238,120,238
239,120,239
240,120,240
241,120,241
242,120,242
243,120,243
244,120,244
245,120,245
246,120,246
247,120,247
248,120,248
249,120,249
250,120,250
251,120,251
252,120,252
253,120,253
254,120,254
255,120,255
256,120,256
257,120,257
258,120,258
259,120,259
260,120,260
261,120,261
262,121,262
263,122,263
264,123,264
265,124,265
266,125,266
267,126,267
268,127,268
269,128,269
270,129,270
271,130,271
272,131,272
273,132,273
274,133,274
275,134,275
276,135,276
277,136,277
278,137,278
279,138,279
280,139,280
281,140,281
282,141,282
283,142,283
284,143,284
285,144,285
286,145,286
287,146,287
288,147,288
289,148,289
290,149,290
291,150,291
292,151,292
293,152,293
294,153,294
295,154,295
296,155,296
297,156,297
298,157,298
299,158,299
300,159,300
301,160,301
302,160,302
303,160,303
304,160,304
305,160,305
