onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,divs_pq
-1.0,1.0,-1.0,1.0,0,60,64,1,p0n0,60
0.0,1.0,0.0,1.0,60,60,33,5,p0n3,60
0.0,0.5,0.0,0.5,60,30,69,1,p0n2,60
0.5,0.5,0.5,0.5,90,30,71,1,p0n4,60
1.0,1.0,1.0,1.0,120,60,57,5,p0n6,60
1.0,1.0,1.0,1.0,120,60,60,5,p0n7,60
1.0,1.0,1.0,1.0,120,60,64,5,p0n8,60
1.0,1.0,1.0,1.0,120,60,72,1,p0n5,60
2.0,1.0,2.0,1.0,180,60,57,5,p0n10,60
2.0,1.0,2.0,1.0,180,60,60,5,p0n11,60
2.0,1.0,2.0,1.0,180,60,64,5,p0n12,60
2.0,1.0,2.0,1.0,180,60,72,1,p0n9,60
3.0,1.0,3.0,1.0,240,60,38,5,p0n14,60
3.0,0.5,3.0,0.5,240,30,74,1,p0n13,60
3.5,0.5,3.5,0.5,270,30,76,1,p0n15,60
4.0,1.0,4.0,1.0,300,60,57,5,p0n17,60
4.0,1.0,4.0,1.0,300,60,62,5,p0n18,60
4.0,1.0,4.0,1.0,300,60,65,5,p0n19,60
4.0,2.0,4.0,2.0,300,120,77,1,p0n16,60
5.0,1.0,5.0,1.0,360,60,57,5,p0n20,60
5.0,1.0,5.0,1.0,360,60,62,5,p0n21,60
5.0,1.0,5.0,1.0,360,60,65,5,p0n22,60
6.0,1.0,6.0,1.0,420,60,43,5,p0n24,60
6.0,0.5,6.0,0.5,420,30,71,1,p0n23,60
6.5,0.5,6.5,0.5,450,30,72,1,p0n25,60
7.0,1.0,7.0,1.0,480,60,55,5,p0n27,60
7.0,1.0,7.0,1.0,480,60,59,5,p0n28,60
7.0,1.0,7.0,1.0,480,60,65,5,p0n29,60
7.0,0.5,7.0,0.5,480,30,74,1,p0n26,60
7.5,0.5,7.5,0.5,510,30,81,1,p0n30,60
8.0,1.0,8.0,1.0,540,60,55,5,p0n32,60
8.0,1.0,8.0,1.0,540,60,59,5,p0n33,60
8.0,1.0,8.0,1.0,540,60,65,5,p0n34,60
8.0,0.5,8.0,0.5,540,30,79,1,p0n31,60
8.5,0.5,8.5,0.5,570,30,77,1,p0n35,60
9.0,1.0,9.0,1.0,600,60,48,5,p0n39,60
9.0,0.0,9.0,0.0,600,0,76,1,p0n36,60
9.0,0.5,9.0,0.5,600,30,76,1,p0n38,60
9.0,0.0,9.0,0.0,600,0,77,1,p0n37,60
9.5,0.5,9.5,0.5,630,30,75,1,p0n40,60
10.0,1.0,10.0,1.0,660,60,55,5,p0n42,60
10.0,1.0,10.0,1.0,660,60,60,5,p0n43,60
10.0,1.0,10.0,1.0,660,60,64,5,p0n44,60
10.0,2.0,10.0,2.0,660,120,76,1,p0n41,60
11.0,1.0,11.0,1.0,720,60,55,5,p0n45,60
11.0,1.0,11.0,1.0,720,60,60,5,p0n46,60
11.0,1.0,11.0,1.0,720,60,64,5,p0n47,60
12.0,1.0,12.0,1.0,780,60,45,5,p0n49,60
12.0,0.5,12.0,0.5,780,30,69,1,p0n48,60
12.5,0.5,12.5,0.5,810,30,71,1,p0n50,60
13.0,1.0,13.0,1.0,840,60,57,5,p0n52,60
13.0,1.0,13.0,1.0,840,60,60,5,p0n53,60
13.0,1.0,13.0,1.0,840,60,64,5,p0n54,60
13.0,1.0,13.0,1.0,840,60,72,1,p0n51,60
14.0,1.0,14.0,1.0,900,60,57,5,p0n56,60
14.0,1.0,14.0,1.0,900,60,60,5,p0n57,60
14.0,1.0,14.0,1.0,900,60,64,5,p0n58,60
14.0,1.0,14.0,1.0,900,60,72,1,p0n55,60
15.0,1.0,15.0,1.0,960,60,38,5,p0n60,60
15.0,0.5,15.0,0.5,960,30,74,1,p0n59,60
15.5,0.5,15.5,0.5,990,30,76,1,p0n61,60
16.0,1.0,16.0,1.0,1020,60,57,5,p0n63,60
16.0,1.0,16.0,1.0,1020,60,62,5,p0n64,60
16.0,1.0,16.0,1.0,1020,60,65,5,p0n65,60
16.0,2.0,16.0,2.0,1020,120,77,1,p0n62,60
17.0,1.0,17.0,1.0,1080,60,57,5,p0n66,60
17.0,1.0,17.0,1.0,1080,60,62,5,p0n67,60
17.0,1.0,17.0,1.0,1080,60,65,5,p0n68,60
18.0,1.0,18.0,1.0,1140,60,43,5,p0n70,60
18.0,0.5,18.0,0.5,1140,30,71,1,p0n69,60
18.5,0.5,18.5,0.5,1170,30,72,1,p0n71,60
19.0,1.0,19.0,1.0,1200,60,55,5,p0n73,60
19.0,1.0,19.0,1.0,1200,60,59,5,p0n74,60
19.0,1.0,19.0,1.0,1200,60,65,5,p0n75,60
19.0,0.5,19.0,0.5,1200,30,74,1,p0n72,60
19.5,0.5,19.5,0.5,1230,30,81,1,p0n76,60
20.0,1.0,20.0,1.0,1260,60,55,5,p0n78,60
20.0,1.0,20.0,1.0,1260,60,59,5,p0n79,60
20.0,1.0,20.0,1.0,1260,60,65,5,p0n80,60
20.0,0.5,20.0,0.5,1260,30,79,1,p0n77,60
20.5,0.5,20.5,0.5,1290,30,71,1,p0n81,60
21.0,1.0,21.0,1.0,1320,60,48,5,p0n83,60
21.0,1.0,21.0,1.0,1320,60,72,1,p0n82,60
22.0,1.0,22.0,1.0,1380,60,55,5,p0n85,60
22.0,1.0,22.0,1.0,1380,60,60,5,p0n86,60
22.0,1.0,22.0,1.0,1380,60,64,5,p0n87,60
23.0,1.0,23.0,1.0,1440,60,64,1,p0n88,60
24.0,1.0,24.0,1.0,1500,60,33,5,p0n91,60
24.0,0.5,24.0,0.5,1500,30,69,1,p0n90,60
24.5,0.5,24.5,0.5,1530,30,71,1,p0n92,60
25.0,1.0,25.0,1.0,1560,60,57,5,p0n94,60
25.0,1.0,25.0,1.0,1560,60,60,5,p0n95,60
25.0,1.0,25.0,1.0,1560,60,64,5,p0n96,60
25.0,1.0,25.0,1.0,1560,60,72,1,p0n93,60
26.0,1.0,26.0,1.0,1620,60,57,5,p0n98,60
26.0,1.0,26.0,1.0,1620,60,60,5,p0n99,60
26.0,1.0,26.0,1.0,1620,60,64,5,p0n100,60
26.0,1.0,26.0,1.0,1620,60,72,1,p0n97,60
27.0,1.0,27.0,1.0,1680,60,38,5,p0n102,60
27.0,0.5,27.0,0.5,1680,30,74,1,p0n101,60
27.5,0.5,27.5,0.5,1710,30,76,1,p0n103,60
28.0,1.0,28.0,1.0,1740,60,57,5,p0n105,60
28.0,1.0,28.0,1.0,1740,60,62,5,p0n106,60
28.0,1.0,28.0,1.0,1740,60,65,5,p0n107,60
28.0,2.0,28.0,2.0,1740,120,77,1,p0n104,60
29.0,1.0,29.0,1.0,1800,60,57,5,p0n108,60
29.0,1.0,29.0,1.0,1800,60,62,5,p0n109,60
29.0,1.0,29.0,1.0,1800,60,65,5,p0n110,60
30.0,1.0,30.0,1.0,1860,60,43,5,p0n112,60
30.0,0.5,30.0,0.5,1860,30,71,1,p0n111,60
30.5,0.5,30.5,0.5,1890,30,72,1,p0n113,60
31.0,1.0,31.0,1.0,1920,60,55,5,p0n115,60
31.0,1.0,31.0,1.0,1920,60,59,5,p0n116,60
31.0,1.0,31.0,1.0,1920,60,65,5,p0n117,60
31.0,0.5,31.0,0.5,1920,30,74,1,p0n114,60
31.5,0.5,31.5,0.5,1950,30,81,1,p0n118,60
32.0,1.0,32.0,1.0,1980,60,55,5,p0n120,60
32.0,1.0,32.0,1.0,1980,60,59,5,p0n121,60
32.0,1.0,32.0,1.0,1980,60,65,5,p0n122,60
32.0,0.5,32.0,0.5,1980,30,79,1,p0n119,60
32.5,0.5,32.5,0.5,2010,30,77,1,p0n123,60
33.0,1.0,33.0,1.0,2040,60,48,5,p0n127,60
33.0,0.0,33.0,0.0,2040,0,76,1,p0n124,60
33.0,0.5,33.0,0.5,2040,30,76,1,p0n126,60
33.0,0.0,33.0,0.0,2040,0,77,1,p0n125,60
33.5,0.5,33.5,0.5,2070,30,75,1,p0n128,60
34.0,1.0,34.0,1.0,2100,60,55,5,p0n130,60
34.0,1.0,34.0,1.0,2100,60,60,5,p0n131,60
