path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,44
46,46,44
47,47,45
48,48,46
49,49,47
50,50,48
51,51,49
52,52,50
53,53,51
54,54,52
55,55,53
56,56,54
57,57,55
58,58,56
59,59,57
60,60,58
61,61,59
62,62,60
63,63,60
64,64,60
65,65,61
66,66,62
67,67,63
68,68,64
69,69,65
70,70,66
71,71,67
72,72,68
73,73,69
74,74,70
75,75,71
76,76,72
77,77,73
78,78,74
79,79,75
80,80,76
81,81,77
82,82,78
83,83,79
84,84,80
85,85,81
86,86,82
87,87,82
88,88,82
89,89,82
90,90,82
91,91,82
92,92,82
93,93,82
94,94,82
95,95,82
96,96,82
97,97,82
98,98,82
99,99,82
100,100,82
101,101,82
102,102,82
103,103,82
104,104,82
105,105,82
106,106,82
107,107,82
108,108,82
109,109,82
110,110,82
111,111,82
112,112,82
113,113,82
114,114,82
115,115,82
116,116,83
117,117,84
118,118,85
119,119,86
120,120,87
121,121,88
122,122,89
123,123,90
124,124,91
125,125,92
126,126,93
127,127,94
128,128,95
129,129,96
130,130,97
131,131,98
132,132,99
133,133,100
134,134,101
135,135,102
136,136,103
137,137,104
138,138,105
139,139,106
140,140,107
141,141,108
142,142,109
143,143,110
144,144,111
145,145,112
146,146,113
147,147,114
148,148,115
149,149,116
150,150,117
151,151,118
152,152,119
153,153,120
154,154,121
155,155,122
156,156,123
157,157,124
158,158,125
159,159,126
160,160,127
161,161,128
162,162,129
163,163,129
164,164,129
165,165,129
166,166,129
167,167,129
168,168,129
169,169,129
170,170,129
171,171,129
172,172,129
173,173,130
174,174,131
175,175,132
176,176,133
177,177,134
178,178,135
179,179,136
180,180,137
181,181,137
182,182,137
183,183,137
184,184,138
185,185,139
186,186,140
187,187,141
188,188,142
189,189,143
190,190,144
191,191,145
192,192,146
193,193,147
194,194,148
195,195,149
196,196,150
197,197,151
198,198,152
199,199,153
200,200,154
201,201,155
202,202,156
203,203,157
204,204,158
205,205,159
206,206,160
207,207,160
208,208,160
209,209,160
210,210,160
211,211,160
212,212,160
213,213,160
214,214,160
215,215,160
216,216,160
217,217,160
218,218,160
219,219,160
220,220,160
221,221,160
222,222,160
223,223,160
224,224,160
225,225,160
226,226,160
227,227,160
228,228,160
229,229,160
230,230,160
231,231,160
232,232,160
233,233,160
234,234,160
235,235,160
236,236,160
237,237,160
238,238,160
239,239,160
240,240,160
241,241,160
242,242,161
243,243,162
244,244,163
245,245,164
246,246,165
247,247,166
248,248,167
249,249,168
250,250,169
251,251,170
252,252,171
253,253,172
254,254,173
255,255,174
256,256,175
257,257,176
258,258,177
259,259,178
260,260,179
261,261,180
262,262,181
263,263,182
264,264,183
265,265,184
266,266,185
267,267,186
268,268,187
269,269,188
270,270,189
271,271,190
272,272,191
273,273,192
274,274,193
275,275,194
276,276,195
277,277,196
278,278,197
279,279,198
280,280,199
281,281,200
282,282,201
283,283,202
284,284,202
285,285,202
286,286,202
287,287,202
288,288,202
289,289,202
290,290,202
291,291,202
292,292,203
293,293,204
294,294,205
295,295,206
296,296,207
297,297,208
298,298,209
299,299,210
300,300,211
301,301,212
302,302,213
303,303,214
304,304,215
305,305,216
306,306,217
307,307,218
308,308,219
309,309,220
310,310,221
311,311,222
312,312,223
313,313,224
314,314,225
315,315,226
316,316,227
317,317,228
318,318,229
319,319,230
320,320,231
321,321,232
322,322,233
323,323,234
324,324,235
325,325,236
326,326,237
327,327,238
328,328,239
329,329,240
330,330,241
331,331,242
332,332,242
333,333,242
334,334,242
335,335,242
336,336,242
337,337,242
338,338,242
339,339,242
340,340,242
341,341,242
342,342,242
343,343,242
344,344,242
345,345,242
346,346,242
347,347,242
348,348,242
349,349,242
350,350,242
351,351,242
352,352,242
353,353,242
354,354,242
355,355,242
356,356,242
357,357,242
358,358,242
359,359,242
360,360,243
361,361,244
362,362,245
363,363,246
364,364,246
365,365,246
366,366,246
367,367,246
368,368,246
369,369,246
370,370,246
371,371,246
372,372,246
373,373,246
374,374,246
375,375,247
376,376,248
377,377,249
378,378,250
379,379,251
380,380,252
381,381,253
382,382,254
383,383,255
384,384,256
385,385,257
386,386,258
387,387,259
388,388,260
389,389,260
390,390,260
391,391,260
392,392,260
393,393,261
394,394,262
395,395,263
396,396,264
397,397,265
398,398,266
399,399,267
400,400,268
401,401,269
402,402,270
403,403,271
404,404,272
405,405,273
406,406,274
407,407,275
408,408,276
409,409,277
410,410,278
411,411,279
412,412,280
413,413,280
414,414,280
415,415,280
416,416,281
417,417,282
418,418,283
419,419,284
420,420,285
421,421,286
422,422,286
423,423,286
424,424,286
425,425,286
426,426,286
427,427,286
428,428,286
429,429,286
430,430,286
431,431,287
432,432,288
433,433,289
434,434,290
435,435,291
436,436,292
437,437,293
438,438,294
439,439,295
440,440,296
441,441,297
442,442,298
443,443,299
444,444,300
445,445,301
446,446,302
447,447,303
448,448,304
449,449,305
450,450,306
451,451,307
452,452,308
453,453,309
454,454,310
455,455,311
456,456,312
457,457,313
458,458,314
459,459,315
460,460,316
461,461,317
462,462,318
463,463,319
464,464,320
465,465,321
466,466,322
467,467,323
468,468,324
469,469,325
470,470,326
471,471,327
472,472,328
473,473,329
474,474,330
475,475,331
476,476,331
477,477,331
478,478,331
479,479,331
480,480,331
481,481,331
482,482,331
483,483,331
484,484,331
485,485,331
486,486,331
487,487,331
488,488,331
489,489,331
490,490,331
491,491,331
492,492,331
493,493,331
494,494,331
495,495,331
496,496,331
497,497,331
498,498,331
499,499,331
500,500,331
501,501,331
502,502,331
503,503,331
504,504,331
505,505,331
506,506,331
507,507,331
508,508,332
509,509,333
510,510,334
511,511,335
512,512,336
513,513,337
514,514,338
515,515,339
516,516,340
517,517,341
518,518,342
519,519,343
520,520,344
521,521,345
522,522,346
523,523,347
524,524,348
525,525,348
526,526,348
527,527,348
528,528,348
529,529,348
530,530,348
531,531,348
532,532,348
533,533,348
534,534,348
535,535,349
536,536,350
537,537,351
538,538,352
539,539,353
540,540,354
541,541,355
542,542,356
543,543,357
544,544,358
545,545,358
546,546,358
547,547,358
548,548,358
549,549,358
550,550,358
551,551,358
552,552,358
553,553,359
554,554,360
555,555,361
556,556,362
557,557,363
558,558,364
559,559,365
560,560,366
561,561,367
562,562,368
563,563,369
564,564,370
565,565,371
566,566,372
567,567,373
568,568,374
569,569,375
570,570,376
571,571,377
572,572,378
573,573,379
574,574,380
575,575,381
576,576,382
577,577,383
578,578,384
579,579,385
580,580,386
581,581,387
582,582,388
583,583,389
584,584,390
585,585,391
586,586,392
587,587,392
588,588,392
589,589,392
590,590,392
591,591,392
592,592,392
593,593,392
594,594,392
595,595,392
596,596,392
597,597,392
598,598,392
599,599,392
600,600,392
601,601,392
602,602,392
603,603,392
604,604,392
605,605,392
606,606,392
607,607,393
608,608,394
609,609,395
610,610,396
611,611,397
612,612,398
613,613,399
614,614,400
615,615,401
616,616,402
617,617,403
618,618,404
619,619,405
620,620,406
621,621,407
622,622,408
623,623,409
624,624,410
625,625,411
626,626,412
627,627,413
628,628,414
629,629,415
630,630,416
