onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,divs_pq
0.0,1.5,0.0,1.5,0,18,48,5,P05_p5n3,12
0.0,1.0,0.0,1.0,0,12,48,1,P04_p4n0,12
0.0,1.0,0.0,1.0,0,12,55,1,P03_p3n0,12
0.0,1.5,0.0,1.5,0,18,55,5,P05_p5n4,12
0.0,1.5,0.0,1.5,0,18,60,5,P05_p5n5,12
0.0,1.5,0.0,1.5,0,18,63,1,P05_p5n0,12
0.0,1.0,0.0,1.0,0,12,63,1,P02_p2n0,12
0.0,1.5,0.0,1.5,0,18,67,1,P05_p5n1,12
0.0,1.0,0.0,1.0,0,12,72,1,P01_p1n0,12
0.0,1.5,0.0,1.5,0,18,72,1,P05_p5n2,12
1.0,0.5,1.0,0.5,12,6,48,1,P04_p4n1,12
1.0,0.5,1.0,0.5,12,6,55,1,P03_p3n1,12
1.0,0.5,1.0,0.5,12,6,63,1,P02_p2n1,12
1.0,0.5,1.0,0.5,12,6,72,1,P01_p1n1,12
1.5,1.5,1.5,1.5,18,18,48,5,P05_p5n9,12
1.5,1.5,1.5,1.5,18,18,48,1,P04_p4n2,12
1.5,1.5,1.5,1.5,18,18,55,1,P03_p3n2,12
1.5,1.5,1.5,1.5,18,18,55,5,P05_p5n10,12
1.5,1.5,1.5,1.5,18,18,60,5,P05_p5n11,12
1.5,1.5,1.5,1.5,18,18,63,1,P05_p5n6,12
1.5,1.5,1.5,1.5,18,18,63,1,P02_p2n2,12
1.5,1.5,1.5,1.5,18,18,67,1,P05_p5n7,12
1.5,1.5,1.5,1.5,18,18,72,1,P05_p5n8,12
1.5,1.5,1.5,1.5,18,18,72,1,P01_p1n2,12
3.0,1.0,3.0,1.0,36,12,48,5,P05_p5n15,12
3.0,1.0,3.0,1.0,36,12,48,1,P04_p4n3,12
3.0,1.0,3.0,1.0,36,12,55,5,P05_p5n16,12
3.0,1.0,3.0,1.0,36,12,55,1,P03_p3n3,12
3.0,1.0,3.0,1.0,36,12,60,5,P05_p5n17,12
3.0,1.0,3.0,1.0,36,12,63,1,P05_p5n12,12
3.0,1.0,3.0,1.0,36,12,63,1,P02_p2n3,12
3.0,1.0,3.0,1.0,36,12,67,1,P05_p5n13,12
3.0,1.0,3.0,1.0,36,12,72,1,P01_p1n3,12
3.0,1.0,3.0,1.0,36,12,72,1,P05_p5n14,12
4.0,1.0,4.0,1.0,48,12,48,1,P04_p4n4,12
4.0,1.5,4.0,1.5,48,18,48,5,P05_p5n21,12
4.0,1.0,4.0,1.0,48,12,56,1,P03_p3n4,12
4.0,1.5,4.0,1.5,48,18,56,5,P05_p5n22,12
4.0,1.5,4.0,1.5,48,18,60,5,P05_p5n23,12
4.0,1.0,4.0,1.0,48,12,65,1,P02_p2n4,12
4.0,1.5,4.0,1.5,48,18,65,1,P05_p5n18,12
4.0,1.5,4.0,1.5,48,18,68,1,P05_p5n19,12
4.0,1.5,4.0,1.5,48,18,74,1,P05_p5n20,12
4.0,1.0,4.0,1.0,48,12,74,1,P01_p1n4,12
5.0,0.5,5.0,0.5,60,6,48,1,P04_p4n5,12
5.0,0.5,5.0,0.5,60,6,56,1,P03_p3n5,12
5.0,0.5,5.0,0.5,60,6,65,1,P02_p2n5,12
5.0,0.5,5.0,0.5,60,6,74,1,P01_p1n5,12
5.5,1.5,5.5,1.5,66,18,48,1,P04_p4n6,12
5.5,1.5,5.5,1.5,66,18,48,5,P05_p5n27,12
5.5,1.5,5.5,1.5,66,18,56,1,P03_p3n6,12
5.5,1.5,5.5,1.5,66,18,56,5,P05_p5n28,12
5.5,1.5,5.5,1.5,66,18,60,5,P05_p5n29,12
5.5,1.5,5.5,1.5,66,18,65,1,P02_p2n6,12
5.5,1.0,5.5,1.0,66,12,65,1,P05_p5n24,12
5.5,1.0,5.5,1.0,66,12,68,1,P05_p5n25,12
5.5,1.5,5.5,1.5,66,18,74,1,P01_p1n6,12
5.5,1.0,5.5,1.0,66,12,74,1,P05_p5n26,12
6.5,0.5,6.5,0.5,78,6,74,1,P05_p5n30,12
7.0,1.0,7.0,1.0,84,12,48,5,P05_p5n32,12
7.0,1.0,7.0,1.0,84,12,56,5,P05_p5n33,12
7.0,1.0,7.0,1.0,84,12,60,5,P05_p5n34,12
7.0,0.5,7.0,0.5,84,6,75,1,P05_p5n31,12
7.5,0.5,7.5,0.5,90,6,76,1,P05_p5n35,12
8.0,1.5,8.0,1.5,96,18,47,5,P05_p5n39,12
8.0,1.0,8.0,1.0,96,12,47,1,P04_p4n8,12
8.0,1.5,8.0,1.5,96,18,56,5,P05_p5n40,12
8.0,1.5,8.0,1.5,96,18,62,5,P05_p5n41,12
8.0,1.0,8.0,1.0,96,12,62,1,P03_p3n8,12
8.0,1.5,8.0,1.5,96,18,68,1,P05_p5n36,12
8.0,1.0,8.0,1.0,96,12,68,1,P02_p2n8,12
8.0,1.5,8.0,1.5,96,18,74,1,P05_p5n37,12
8.0,1.0,8.0,1.0,96,12,77,1,P01_p1n8,12
8.0,1.5,8.0,1.5,96,18,77,1,P05_p5n38,12
