path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,45
46,46,46
47,47,47
48,48,48
49,49,49
50,50,50
51,51,51
52,52,52
53,53,53
54,54,54
55,55,55
56,56,56
57,57,57
58,58,58
59,59,59
60,60,60
61,61,61
62,62,62
63,63,63
64,64,64
65,65,65
66,66,66
67,67,67
68,68,68
69,69,69
70,70,70
71,71,71
72,72,72
73,73,73
74,74,74
75,75,75
76,76,76
77,77,77
78,78,78
79,79,79
80,80,80
81,81,81
82,82,82
83,83,83
84,84,84
85,85,85
86,86,86
87,87,87
88,88,88
89,89,89
90,90,90
91,91,91
92,92,91
93,93,91
94,94,91
95,95,91
96,96,91
97,97,91
98,98,91
99,99,91
100,100,91
101,101,91
102,102,91
103,103,91
104,104,91
105,105,91
106,106,91
107,107,91
108,108,91
109,109,91
110,110,91
111,111,91
112,112,91
113,113,91
114,114,91
115,115,91
116,116,91
117,117,91
118,118,91
119,119,91
120,120,92
121,121,93
122,122,94
123,123,95
124,124,96
125,125,97
126,126,98
127,127,99
128,128,100
129,129,101
130,130,102
131,131,103
132,132,104
133,133,105
134,134,106
135,135,107
136,136,108
137,137,109
138,138,110
139,139,111
140,140,112
141,141,113
142,142,114
143,143,115
144,144,116
145,145,117
146,146,118
147,147,119
148,148,120
149,149,121
150,150,122
151,151,123
152,152,124
153,153,125
154,154,126
155,155,127
156,156,128
157,157,129
158,158,130
159,159,131
160,160,132
161,161,133
162,162,134
163,163,135
164,164,136
165,165,137
166,166,138
167,167,139
168,168,140
169,169,141
170,170,142
171,171,143
172,172,144
173,173,145
174,174,146
175,175,147
176,176,148
177,177,149
178,178,150
179,179,151
180,180,152
181,181,153
182,182,154
183,183,155
184,184,156
185,185,157
186,186,158
187,187,159
188,188,160
189,189,161
190,190,162
191,191,163
192,192,164
193,193,165
194,194,166
195,195,167
196,196,168
197,197,169
198,198,170
199,199,171
200,200,172
201,201,173
202,202,174
203,203,175
204,204,176
205,205,177
206,206,178
207,207,179
208,208,180
209,209,181
210,210,182
211,211,183
212,212,184
213,213,185
214,214,186
215,215,187
216,216,188
217,217,189
218,218,190
219,219,191
220,220,192
221,221,193
222,222,194
223,223,195
224,224,196
225,225,197
226,226,198
227,227,199
228,228,200
229,229,201
230,230,202
231,231,203
232,232,204
233,233,205
234,234,206
235,235,207
236,236,208
237,237,209
238,238,210
239,239,211
240,240,212
241,241,213
242,242,214
243,243,215
244,244,216
245,245,217
246,246,218
247,247,219
248,248,220
249,249,221
250,250,222
251,251,223
252,252,224
253,253,225
254,254,226
255,255,227
256,256,228
257,257,229
258,258,230
259,259,231
260,260,232
261,261,233
262,262,233
263,263,233
264,264,233
265,265,233
266,266,233
267,267,233
268,268,233
269,269,233
270,270,233
271,271,233
272,272,233
273,273,233
274,274,233
275,275,233
276,276,233
277,277,233
278,278,233
279,279,233
280,280,234
281,281,235
282,282,236
283,283,237
284,284,237
285,285,237
286,286,237
287,287,237
288,288,237
289,289,237
290,290,237
291,291,237
292,292,237
293,293,237
294,294,237
295,295,237
296,296,237
297,297,237
298,298,238
299,299,239
300,300,240
301,301,240
302,302,240
303,303,240
304,304,240
305,305,240
306,306,241
307,307,242
308,308,243
309,309,244
310,310,245
311,311,246
312,312,247
313,313,248
314,314,249
315,315,250
316,316,251
317,317,252
318,318,253
319,319,254
320,320,255
321,321,256
322,322,257
323,323,258
324,324,259
325,325,260
326,326,261
327,327,262
328,328,263
329,329,264
330,330,265
331,331,266
332,332,267
333,333,268
334,334,269
335,335,270
336,336,271
337,337,272
338,338,273
339,339,274
340,340,275
341,341,276
342,342,277
343,343,278
344,344,279
345,345,280
346,346,281
347,347,282
348,348,283
349,349,284
350,350,285
351,351,286
352,352,287
353,353,288
354,354,289
355,355,290
356,356,291
357,357,292
358,358,293
359,359,294
360,360,295
361,361,296
362,362,297
363,363,298
364,364,299
365,365,300
366,366,301
367,367,302
368,368,303
369,369,304
370,370,305
371,371,306
372,372,307
373,373,308
374,374,309
375,375,310
376,376,311
377,377,312
378,378,313
379,379,314
380,380,315
381,381,316
382,382,317
383,383,318
384,384,319
385,385,320
386,386,321
387,387,322
388,388,323
389,389,324
390,390,325
391,391,326
392,392,327
393,393,328
394,394,329
395,395,330
396,396,331
397,397,332
398,398,333
399,399,334
400,400,335
401,401,336
402,402,337
403,403,338
404,404,339
405,405,340
406,406,341
407,407,342
408,408,343
409,409,344
410,410,345
411,411,346
412,412,347
413,413,348
414,414,349
415,415,350
416,416,351
417,417,352
418,418,353
419,419,354
420,420,355
421,421,355
422,422,355
423,423,355
424,424,355
425,425,355
426,426,355
427,427,355
428,428,355
429,429,355
430,430,355
431,431,355
432,432,355
433,433,355
434,434,355
435,435,355
436,436,355
437,437,355
438,438,355
439,439,355
440,440,355
441,441,355
442,442,355
443,443,355
444,444,355
445,445,355
446,446,355
447,447,355
448,448,355
449,449,355
450,450,355
451,451,355
452,452,355
453,453,355
454,454,355
455,455,355
456,456,355
457,457,355
458,458,356
459,459,357
460,460,358
461,461,359
462,462,360
463,463,361
464,464,362
465,465,363
466,466,364
467,467,365
468,468,366
469,469,367
470,470,368
471,471,369
472,472,370
473,473,371
474,474,372
475,475,373
476,476,374
477,477,375
478,478,376
479,479,377
480,480,378
481,481,379
482,482,380
483,483,381
484,484,382
485,485,383
486,486,384
487,487,385
488,488,386
489,489,387
490,490,388
491,491,389
492,492,390
493,493,391
494,494,392
495,495,393
496,496,394
497,497,395
498,498,396
499,499,397
500,500,398
501,501,399
502,502,400
503,503,401
504,504,402
505,505,403
506,506,404
507,507,405
508,508,406
509,509,407
510,510,408
511,511,409
512,512,410
513,513,411
514,514,412
515,515,413
516,516,414
517,517,415
518,518,416
519,519,417
520,520,418
521,521,419
522,522,420
523,523,421
524,524,422
525,525,423
526,526,424
527,527,425
528,528,426
529,529,427
530,530,428
531,531,429
532,532,430
533,533,430
534,534,430
535,535,430
536,536,430
537,537,430
538,538,430
539,539,430
540,540,430
541,541,430
542,542,430
543,543,430
544,544,430
545,545,430
546,546,430
547,547,430
548,548,430
549,549,431
550,550,432
551,551,433
552,552,434
553,553,435
554,554,436
555,555,437
556,556,438
557,557,439
558,558,440
559,559,441
560,560,442
561,561,443
562,562,444
563,563,445
564,564,446
565,565,447
566,566,448
567,567,449
568,568,450
569,569,451
570,570,452
571,571,453
572,572,454
573,573,455
574,574,456
575,575,457
576,576,458
577,577,459
578,578,460
579,579,461
580,580,462
581,581,463
582,582,464
583,583,465
584,584,466
585,585,467
586,586,468
587,587,469
588,588,470
589,589,471
590,590,472
591,591,473
592,592,474
593,593,475
594,594,476
595,595,477
596,596,478
597,597,479
598,598,480
599,599,481
600,600,482
601,601,483
602,602,484
603,603,485
604,604,486
605,605,487
606,606,488
607,607,488
608,608,488
609,609,488
610,610,488
611,611,488
612,612,488
613,613,488
614,614,488
615,615,488
616,616,489
617,617,490
618,618,491
619,619,492
620,620,493
621,621,494
622,622,495
623,623,496
624,624,497
625,625,498
626,626,499
627,627,500
628,628,501
629,629,502
630,630,503
