onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,divs_pq
0.0,1.0,0.0,1.0,0,4,52,1,P07_p7n0,4
0.0,1.0,0.0,1.0,0,4,55,1,P06_p6n0,4
0.0,1.0,0.0,1.0,0,4,59,1,P04_p4n0,4
0.0,1.0,0.0,1.0,0,4,59,1,P05_p5n0,4
0.0,1.0,0.0,1.0,0,4,64,1,P03_p3n0,4
0.0,1.0,0.0,1.0,0,4,64,1,P02_p2n0,4
1.0,0.5,1.0,0.5,4,2,52,1,P07_p7n1,4
1.0,0.5,1.0,0.5,4,2,55,1,P06_p6n1,4
1.0,0.5,1.0,0.5,4,2,59,1,P04_p4n1,4
1.0,0.5,1.0,0.5,4,2,59,1,P05_p5n1,4
1.0,0.5,1.0,0.5,4,2,64,1,P03_p3n1,4
1.0,0.5,1.0,0.5,4,2,64,1,P02_p2n1,4
1.5,0.5,1.5,0.5,6,2,52,1,P07_p7n2,4
1.5,0.5,1.5,0.5,6,2,55,1,P06_p6n2,4
1.5,0.5,1.5,0.5,6,2,59,1,P04_p4n2,4
1.5,0.5,1.5,0.5,6,2,59,1,P05_p5n2,4
1.5,0.5,1.5,0.5,6,2,64,1,P03_p3n2,4
1.5,0.5,1.5,0.5,6,2,64,1,P02_p2n2,4
2.0,0.5,2.0,0.5,8,2,52,1,P07_p7n3,4
2.0,0.5,2.0,0.5,8,2,55,1,P06_p6n3,4
2.0,0.5,2.0,0.5,8,2,59,1,P04_p4n3,4
2.0,0.5,2.0,0.5,8,2,59,1,P05_p5n3,4
2.0,0.5,2.0,0.5,8,2,64,1,P03_p3n3,4
2.0,0.5,2.0,0.5,8,2,64,1,P02_p2n3,4
2.5,0.5,2.5,0.5,10,2,52,1,P07_p7n4,4
2.5,0.5,2.5,0.5,10,2,55,1,P06_p6n4,4
2.5,0.5,2.5,0.5,10,2,59,1,P04_p4n4,4
2.5,0.5,2.5,0.5,10,2,59,1,P05_p5n4,4
2.5,0.5,2.5,0.5,10,2,64,1,P03_p3n4,4
2.5,0.5,2.5,0.5,10,2,64,1,P02_p2n4,4
3.0,0.5,3.0,0.5,12,2,52,1,P07_p7n5,4
3.0,0.5,3.0,0.5,12,2,55,1,P06_p6n5,4
3.0,0.5,3.0,0.5,12,2,59,1,P04_p4n5,4
3.0,0.5,3.0,0.5,12,2,59,1,P05_p5n5,4
3.0,0.5,3.0,0.5,12,2,64,1,P03_p3n5,4
3.0,0.5,3.0,0.5,12,2,64,1,P02_p2n5,4
3.5,0.5,3.5,0.5,14,2,52,1,P07_p7n6,4
3.5,0.5,3.5,0.5,14,2,55,1,P06_p6n6,4
3.5,0.5,3.5,0.5,14,2,59,1,P04_p4n6,4
3.5,0.5,3.5,0.5,14,2,59,1,P05_p5n6,4
3.5,0.5,3.5,0.5,14,2,64,1,P03_p3n6,4
3.5,0.5,3.5,0.5,14,2,64,1,P02_p2n6,4
4.0,1.0,4.0,1.0,16,4,52,1,P07_p7n7,4
4.0,1.0,4.0,1.0,16,4,55,1,P06_p6n7,4
4.0,1.0,4.0,1.0,16,4,59,1,P04_p4n7,4
4.0,1.0,4.0,1.0,16,4,59,1,P05_p5n7,4
4.0,1.0,4.0,1.0,16,4,64,1,P03_p3n7,4
4.0,1.0,4.0,1.0,16,4,64,1,P02_p2n7,4
5.0,0.5,5.0,0.5,20,2,52,1,P07_p7n8,4
5.0,0.5,5.0,0.5,20,2,55,1,P06_p6n8,4
5.0,0.5,5.0,0.5,20,2,59,1,P04_p4n8,4
5.0,0.5,5.0,0.5,20,2,59,1,P05_p5n8,4
5.0,0.5,5.0,0.5,20,2,64,1,P03_p3n8,4
5.0,0.5,5.0,0.5,20,2,64,1,P02_p2n8,4
5.5,0.5,5.5,0.5,22,2,52,1,P07_p7n9,4
5.5,0.5,5.5,0.5,22,2,55,1,P06_p6n9,4
5.5,0.5,5.5,0.5,22,2,59,1,P04_p4n9,4
5.5,0.5,5.5,0.5,22,2,59,1,P05_p5n9,4
5.5,0.5,5.5,0.5,22,2,64,1,P03_p3n9,4
5.5,0.5,5.5,0.5,22,2,64,1,P02_p2n9,4
6.0,0.5,6.0,0.5,24,2,52,1,P07_p7n10,4
6.0,0.5,6.0,0.5,24,2,55,1,P06_p6n10,4
6.0,0.5,6.0,0.5,24,2,59,1,P04_p4n10,4
6.0,0.5,6.0,0.5,24,2,59,1,P05_p5n10,4
6.0,0.5,6.0,0.5,24,2,64,1,P03_p3n10,4
6.0,0.5,6.0,0.5,24,2,64,1,P02_p2n10,4
6.5,0.5,6.5,0.5,26,2,52,1,P07_p7n11,4
6.5,0.5,6.5,0.5,26,2,55,1,P06_p6n11,4
6.5,0.5,6.5,0.5,26,2,59,1,P04_p4n11,4
6.5,0.5,6.5,0.5,26,2,59,1,P05_p5n11,4
6.5,0.5,6.5,0.5,26,2,64,1,P03_p3n11,4
6.5,0.5,6.5,0.5,26,2,64,1,P02_p2n11,4
7.0,0.5,7.0,0.5,28,2,52,1,P07_p7n12,4
7.0,0.5,7.0,0.5,28,2,55,1,P06_p6n12,4
7.0,0.5,7.0,0.5,28,2,59,1,P04_p4n12,4
7.0,0.5,7.0,0.5,28,2,59,1,P05_p5n12,4
7.0,0.5,7.0,0.5,28,2,64,1,P03_p3n12,4
7.0,0.5,7.0,0.5,28,2,64,1,P02_p2n12,4
7.5,0.5,7.5,0.5,30,2,52,1,P07_p7n13,4
7.5,0.5,7.5,0.5,30,2,55,1,P06_p6n13,4
7.5,0.5,7.5,0.5,30,2,59,1,P04_p4n13,4
7.5,0.5,7.5,0.5,30,2,59,1,P05_p5n13,4
7.5,0.5,7.5,0.5,30,2,64,1,P03_p3n13,4
7.5,0.5,7.5,0.5,30,2,64,1,P02_p2n13,4
8.0,1.0,8.0,1.0,32,4,52,1,P07_p7n14,4
8.0,1.0,8.0,1.0,32,4,55,1,P06_p6n14,4
8.0,1.0,8.0,1.0,32,4,59,1,P04_p4n14,4
8.0,1.0,8.0,1.0,32,4,59,1,P05_p5n14,4
8.0,1.0,8.0,1.0,32,4,64,1,P03_p3n14,4
8.0,1.0,8.0,1.0,32,4,64,1,P02_p2n14,4
8.0,0.5,8.0,0.5,32,2,71,1,P00_p0n4,4
8.0,0.5,8.0,0.5,32,2,71,1,P01_p1n4,4
8.5,0.5,8.5,0.5,34,2,71,1,P00_p0n5,4
8.5,0.5,8.5,0.5,34,2,71,1,P01_p1n5,4
9.0,0.5,9.0,0.5,36,2,52,1,P07_p7n15,4
9.0,0.5,9.0,0.5,36,2,55,1,P06_p6n15,4
9.0,0.5,9.0,0.5,36,2,59,1,P04_p4n15,4
9.0,0.5,9.0,0.5,36,2,59,1,P05_p5n15,4
9.0,0.5,9.0,0.5,36,2,64,1,P03_p3n15,4
