path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,45
46,46,46
47,47,47
48,48,48
49,49,49
50,50,50
51,51,51
52,52,52
53,53,53
54,54,54
55,55,55
56,56,56
57,57,57
58,58,58
59,59,59
60,60,60
61,61,61
62,62,62
63,63,63
64,64,64
65,65,65
66,66,66
67,67,67
68,68,68
69,69,69
70,70,70
71,71,71
72,72,72
73,73,73
74,74,74
75,75,75
76,76,76
77,77,77
78,78,78
79,79,79
80,80,80
81,81,81
82,82,82
83,83,83
84,84,84
85,85,85
86,86,86
87,87,87
88,88,88
89,89,89
90,90,90
91,91,91
92,92,92
93,93,93
94,94,94
95,95,95
96,96,96
97,97,97
98,98,98
99,99,99
100,100,100
101,101,101
102,102,102
103,103,103
104,104,104
105,105,105
106,106,106
107,107,107
108,108,108
109,109,109
110,110,110
111,111,111
112,112,112
113,113,113
114,114,114
115,115,115
116,116,116
117,117,117
118,118,118
119,119,119
120,120,120
121,121,121
122,122,122
123,123,123
124,124,124
125,125,125
126,126,126
127,127,127
128,128,128
129,129,129
130,130,130
131,131,131
132,132,132
133,133,133
134,134,134
135,135,135
136,136,136
137,137,137
138,138,138
139,139,139
140,140,140
141,141,141
142,142,142
143,143,143
144,144,144
145,145,145
146,146,146
147,147,147
148,148,148
149,149,149
150,150,150
151,151,151
152,152,152
153,153,153
154,154,154
155,155,155
156,156,156
157,157,157
158,158,158
159,159,159
160,160,160
161,161,161
162,162,162
163,163,163
164,164,164
165,165,165
166,166,165
167,167,165
168,168,165
169,169,165
170,170,165
171,171,165
172,172,165
173,173,165
174,174,165
175,175,165
176,176,165
177,177,165
178,178,165
179,179,165
180,180,165
181,181,165
182,182,165
183,183,165
184,184,165
185,185,165
186,186,165
187,187,165
188,188,165
189,189,165
190,190,165
191,191,165
192,192,165
193,193,165
194,194,165
195,195,165
196,196,165
197,197,165
198,198,165
199,199,165
200,200,165
201,201,165
202,202,165
203,203,165
204,204,165
205,205,165
206,206,165
207,207,165
208,208,165
209,209,165
210,210,165
211,211,165
212,212,165
213,213,165
214,214,165
215,215,165
216,216,165
217,217,165
218,218,165
219,219,165
220,220,165
221,221,165
222,222,165
223,223,165
224,224,165
225,225,165
226,226,165
227,227,165
228,228,165
229,229,165
230,230,165
231,231,165
232,232,165
233,233,165
234,234,165
235,235,165
236,236,165
237,237,165
238,238,165
239,239,165
240,240,165
241,241,165
242,242,165
243,243,165
244,244,165
245,245,165
246,246,165
247,247,165
248,248,165
249,249,165
250,250,165
251,251,165
252,252,165
253,253,165
254,254,165
255,255,165
256,256,165
257,257,165
258,258,165
259,259,165
260,260,165
261,261,165
262,262,165
263,263,165
264,264,165
265,265,165
266,266,165
267,267,165
268,268,165
269,269,165
270,270,165
271,271,165
272,272,165
273,273,165
274,274,165
275,275,165
276,276,165
277,277,165
278,278,165
279,279,165
280,280,165
281,281,165
282,282,165
283,283,165
284,284,165
285,285,165
286,286,165
287,287,165
288,288,165
289,289,165
290,290,165
291,291,165
292,292,165
293,293,165
294,294,165
295,295,165
296,296,165
297,297,165
298,298,165
299,299,165
300,300,165
301,301,165
302,302,165
303,303,165
304,304,165
305,305,165
306,306,165
307,307,165
308,308,165
309,309,165
310,310,165
311,311,165
312,312,165
313,313,165
314,314,165
315,315,165
316,316,166
317,317,167
318,318,168
319,319,169
320,320,170
321,321,171
322,322,172
323,323,173
324,324,174
325,325,175
326,326,176
327,327,177
328,328,178
329,329,179
330,330,179
331,331,179
332,332,179
333,333,179
334,334,179
335,335,179
336,336,179
337,337,179
338,338,179
339,339,179
340,340,179
341,341,179
342,342,179
343,343,179
344,344,179
345,345,179
346,346,179
347,347,179
348,348,179
349,349,179
350,350,179
351,351,179
352,352,179
353,353,179
354,354,179
355,355,179
356,356,179
357,357,179
358,358,179
359,359,179
360,360,179
361,361,179
362,362,179
363,363,179
364,364,179
365,365,179
366,366,179
367,367,180
368,368,181
369,369,182
370,370,183
371,371,184
372,372,185
373,373,186
374,374,187
375,375,188
376,376,189
377,377,190
378,378,191
379,379,192
380,380,193
381,381,194
382,382,195
383,383,196
384,384,197
385,385,198
386,386,199
387,387,200
388,388,201
389,389,202
390,390,203
391,391,204
392,392,205
393,393,206
394,394,207
395,395,208
396,396,209
397,397,210
398,398,211
399,399,212
400,400,213
401,401,214
402,402,215
403,403,216
404,404,217
405,405,218
406,406,219
407,407,220
408,408,221
409,409,222
410,410,223
411,411,224
412,412,225
413,413,226
414,414,227
415,415,228
416,416,229
417,417,230
418,418,231
419,419,232
420,420,233
421,421,234
422,422,235
423,423,236
424,424,237
425,425,238
426,426,239
427,427,240
428,428,241
429,429,242
430,430,243
431,431,244
432,432,245
433,433,246
434,434,247
435,435,248
436,436,249
437,437,250
438,438,251
439,439,252
440,440,253
441,441,254
442,442,255
443,443,256
444,444,257
445,445,258
446,446,259
447,447,260
448,448,260
449,449,260
450,450,260
451,451,260
452,452,260
453,453,260
454,454,260
455,455,260
456,456,260
457,457,260
458,458,260
459,459,260
460,460,260
461,461,260
462,462,260
463,463,260
464,464,260
465,465,260
466,466,260
467,467,260
468,468,260
469,469,261
470,470,262
471,471,263
472,472,264
473,473,265
474,474,266
475,475,267
476,476,268
477,477,269
478,478,270
479,479,271
480,480,272
481,481,273
482,482,274
483,483,275
484,484,276
485,485,277
486,486,278
487,487,279
488,488,280
489,489,281
490,490,282
491,491,283
492,492,284
493,493,285
494,494,286
495,495,287
496,496,288
497,497,289
498,498,290
499,499,290
500,500,290
501,501,290
502,502,290
503,503,290
504,504,290
505,505,290
506,506,290
507,507,290
508,508,290
509,509,290
510,510,290
511,511,290
512,512,290
513,513,290
514,514,290
515,515,290
516,516,290
517,517,290
518,518,290
519,519,290
520,520,290
521,521,290
522,522,290
523,523,290
524,524,290
525,525,290
526,526,290
527,527,290
528,528,290
529,529,290
530,530,290
531,531,290
532,532,290
533,533,290
534,534,290
535,535,290
536,536,290
537,537,290
538,538,290
539,539,290
540,540,290
541,541,290
542,542,290
543,543,290
544,544,290
545,545,291
546,546,292
547,547,293
548,548,294
549,549,295
550,550,296
551,551,297
552,552,298
553,553,299
554,554,300
555,555,301
556,556,302
557,557,303
558,558,304
559,559,305
560,560,306
561,561,306
562,562,306
563,563,306
564,564,306
565,565,306
566,566,306
567,567,306
568,568,306
569,569,306
570,570,306
571,571,306
572,572,306
573,573,306
574,574,306
575,575,306
576,576,306
577,577,306
578,578,306
579,579,306
580,580,306
581,581,306
582,582,306
583,583,306
584,584,306
585,585,306
586,586,306
587,587,306
588,588,306
589,589,306
590,590,306
591,591,307
592,592,308
593,593,309
594,594,310
595,595,311
596,596,312
597,597,313
598,598,314
599,599,315
600,600,316
601,601,317
602,602,318
603,603,319
604,604,320
605,605,321
606,606,322
607,607,323
608,608,324
609,609,325
610,610,326
611,611,327
612,612,328
613,613,329
614,614,330
615,615,331
616,616,332
617,617,333
618,618,334
619,619,335
620,620,336
621,621,337
622,622,338
623,623,338
624,624,338
625,625,338
626,626,338
627,627,338
628,628,338
629,629,338
630,630,338
