song,label,score_time,audio_time_ref,note
chopin,frase_01_takt_01,0.0,1.542,začiatok frázy / takt 1 po predtaktí
chopin,frase_03_takt_09,24.0,17.188,začiatok frázy / takt 9
chopin,frase_05_takt_17,48.0,32.971,začiatok frázy / takt 17
chopin,frase_07_takt_25,72.0,45.700,začiatok frázy / takt 25
chopin,frase_09_takt_33,96.0,58.475,začiatok frázy / takt 33
chopin,frase_11_takt_41,120.0,73.668,začiatok frázy / takt 41
chopin,frase_13_takt_49,144.0,85.323,začiatok frázy / takt 49
chopin,frase_15_takt_57,168.0,102.149,začiatok frázy / takt 57
chopin,frase_17_takt_65,192.0,114.666,začiatok frázy / takt 65
chopin,frase_19_takt_73,216.0,130.811,začiatok frázy / takt 73
