song,label,score_time,audio_time_ref,note
palenocka-live,takt_102,202.0,88.170,začiatok taktu 102
palenocka-live,takt_103,204.0,89.122,začiatok taktu 103
palenocka-live,takt_104,206.0,89.848,začiatok taktu 104
palenocka-live,takt_105,208.0,90.664,začiatok taktu 105
palenocka-live,takt_106,210.0,91.345,začiatok taktu 106
palenocka-live,takt_107,212.0,91.934,začiatok taktu 107
palenocka-live,takt_108,214.0,92.330,začiatok taktu 108
palenocka-live,takt_109,216.0,93.055,začiatok taktu 109
palenocka-live,takt_110,218.0,93.872,začiatok taktu 110
palenocka-live,takt_111,220.0,94.843,začiatok taktu 111
