song,label,score_time,audio_time_ref,note
palenocka,takt_102,202.0,101.662,začiatok taktu 102
palenocka,takt_103,204.0,102.569,začiatok taktu 103
palenocka,takt_104,206.0,103.476,začiatok taktu 104
palenocka,takt_105,208.0,104.202,začiatok taktu 105
palenocka,takt_106,210.0,104.882,začiatok taktu 106
palenocka,takt_107,212.0,105.517,začiatok taktu 107
palenocka,takt_108,214.0,106.050,začiatok taktu 108
palenocka,takt_109,216.0,106.685,začiatok taktu 109
palenocka,takt_110,218.0,107.319,začiatok taktu 110
palenocka,takt_111,220.0,108.272,začiatok taktu 111
