id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
P03_p3n0,50,0.0,0.5,0.0,0.5,1
P00_p0n0,62,0.0,0.5,0.0,0.5,1
P01_p1n0,62,0.0,0.5,0.0,0.5,1
P02_p2n0,62,0.0,0.5,0.0,0.5,1
P03_p3n1,50,0.5,0.5,0.5,0.5,1
P01_p1n1,62,0.5,0.5,0.5,0.5,1
P00_p0n1,62,0.5,0.5,0.5,0.5,1
P02_p2n1,62,0.5,0.5,0.5,0.5,1
P03_p3n2,50,1.0,0.5,1.0,0.5,1
P01_p1n2,62,1.0,0.5,1.0,0.5,1
P02_p2n2,62,1.0,0.5,1.0,0.5,1
P00_p0n2,64,1.0,0.5,1.0,0.5,1
P03_p3n3,50,1.5,0.5,1.5,0.5,1
P01_p1n3,62,1.5,0.5,1.5,0.5,1
P02_p2n3,62,1.5,0.5,1.5,0.5,1
P00_p0n3,66,1.5,0.5,1.5,0.5,1
P03_p3n4,50,2.0,1.0,2.0,1.0,1
P02_p2n4,59,2.0,1.0,2.0,1.0,1
P01_p1n4,62,2.0,1.0,2.0,1.0,1
P00_p0n4,67,2.0,1.0,2.0,1.0,1
P03_p3n5,50,3.0,1.0,3.0,1.0,1
P02_p2n5,57,3.0,1.0,3.0,1.0,1
P01_p1n5,62,3.0,1.0,3.0,1.0,1
P00_p0n5,66,3.0,1.0,3.0,1.0,1
P01_p1n6,62,4.0,0.5,4.0,0.5,1
P03_p3n6,62,4.0,0.5,4.0,0.5,1
P02_p2n6,62,4.0,0.5,4.0,0.5,1
P00_p0n6,66,4.0,0.5,4.0,0.5,1
P01_p1n7,62,4.5,0.5,4.5,0.5,1
P03_p3n7,62,4.5,0.5,4.5,0.5,1
P02_p2n7,62,4.5,0.5,4.5,0.5,1
P00_p0n7,66,4.5,0.5,4.5,0.5,1
P03_p3n8,62,5.0,0.5,5.0,0.5,1
P02_p2n8,62,5.0,0.5,5.0,0.5,1
P01_p1n8,64,5.0,0.5,5.0,0.5,1
P00_p0n8,67,5.0,0.5,5.0,0.5,1
P03_p3n9,62,5.5,0.5,5.5,0.5,1
P02_p2n9,62,5.5,0.5,5.5,0.5,1
P01_p1n9,66,5.5,0.5,5.5,0.5,1
P00_p0n9,69,5.5,0.5,5.5,0.5,1
P03_p3n10,59,6.0,2.0,6.0,2.0,1
P02_p2n10,62,6.0,2.0,6.0,2.0,1
P01_p1n10,66,6.0,2.0,6.0,2.0,1
P00_p0n10,71,6.0,2.0,6.0,2.0,1
P03_p3n11,59,8.0,1.0,8.0,1.0,1
P02_p2n11,62,8.0,1.0,8.0,1.0,1
P01_p1n11,66,8.0,1.0,8.0,1.0,1
P00_p0n11,69,8.0,1.0,8.0,1.0,1
P00_p0n13,69,9.5,0.5,9.5,0.5,1
P00_p0n14,71,10.0,0.5,10.0,0.5,1
P00_p0n15,69,10.5,1.0,10.5,1.0,1
P00_p0n16,67,11.5,0.5,11.5,0.5,1
P00_p0n17,66,12.0,0.5,12.0,0.5,1
P00_p0n18,66,12.5,1.0,12.5,1.0,1
P03_p3n18,50,13.5,0.5,13.5,0.5,1
P02_p2n16,57,13.5,0.5,13.5,0.5,1
P01_p1n16,62,13.5,0.5,13.5,0.5,1
P00_p0n19,62,13.5,1.0,13.5,1.0,1
P03_p3n19,50,14.0,0.5,14.0,0.5,1
P02_p2n17,59,14.0,0.5,14.0,0.5,1
P01_p1n17,62,14.0,0.5,14.0,0.5,1
P03_p3n20,50,14.5,1.0,14.5,1.0,1
P02_p2n18,57,14.5,1.0,14.5,1.0,1
P01_p1n18,62,14.5,1.0,14.5,1.0,1
P00_p0n21,62,14.5,1.0,14.5,1.0,1
P00_p0n22,66,14.5,1.0,14.5,1.0,1
P03_p3n21,45,15.5,0.5,15.5,0.5,1
P02_p2n19,55,15.5,0.5,15.5,0.5,1
P00_p0n23,61,15.5,0.5,15.5,0.5,1
P01_p1n19,61,15.5,0.5,15.5,0.5,1
P00_p0n24,64,15.5,0.5,15.5,0.5,1
P03_p3n22,50,16.0,0.5,16.0,0.5,1
P02_p2n20,54,16.0,0.5,16.0,0.5,1
P01_p1n20,57,16.0,0.5,16.0,0.5,1
P00_p0n25,62,16.0,0.5,16.0,0.5,1
P03_p3n23,50,16.5,1.0,16.5,1.0,1
P02_p2n21,54,16.5,1.0,16.5,1.0,1
P01_p1n21,57,16.5,1.0,16.5,1.0,1
P00_p0n26,62,16.5,1.0,16.5,1.0,1
P03_p3n25,50,18.0,0.5,18.0,0.5,1
P02_p2n23,54,18.0,0.5,18.0,0.5,1
P00_p0n28,62,18.0,0.5,18.0,0.5,1
P01_p1n23,62,18.0,0.5,18.0,0.5,1
P03_p3n26,50,18.5,0.5,18.5,0.5,1
P02_p2n24,54,18.5,0.5,18.5,0.5,1
P00_p0n29,62,18.5,0.5,18.5,0.5,1
P01_p1n24,62,18.5,0.5,18.5,0.5,1
P03_p3n27,50,19.0,0.5,19.0,0.5,1
