id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
p0n0,64,-1.0,1.0,-1.0,1.0,1
p0n3,33,0.0,1.0,0.0,1.0,5
p0n2,69,0.0,0.5,0.0,0.5,1
p0n4,71,0.5,0.5,0.5,0.5,1
p0n6,57,1.0,1.0,1.0,1.0,5
p0n7,60,1.0,1.0,1.0,1.0,5
p0n8,64,1.0,1.0,1.0,1.0,5
p0n5,72,1.0,1.0,1.0,1.0,1
p0n10,57,2.0,1.0,2.0,1.0,5
p0n11,60,2.0,1.0,2.0,1.0,5
p0n12,64,2.0,1.0,2.0,1.0,5
p0n9,72,2.0,1.0,2.0,1.0,1
p0n14,38,3.0,1.0,3.0,1.0,5
p0n13,74,3.0,0.5,3.0,0.5,1
p0n15,76,3.5,0.5,3.5,0.5,1
p0n17,57,4.0,1.0,4.0,1.0,5
p0n18,62,4.0,1.0,4.0,1.0,5
p0n19,65,4.0,1.0,4.0,1.0,5
p0n16,77,4.0,2.0,4.0,2.0,1
p0n20,57,5.0,1.0,5.0,1.0,5
p0n21,62,5.0,1.0,5.0,1.0,5
p0n22,65,5.0,1.0,5.0,1.0,5
p0n24,43,6.0,1.0,6.0,1.0,5
p0n23,71,6.0,0.5,6.0,0.5,1
p0n25,72,6.5,0.5,6.5,0.5,1
p0n27,55,7.0,1.0,7.0,1.0,5
p0n28,59,7.0,1.0,7.0,1.0,5
p0n29,65,7.0,1.0,7.0,1.0,5
p0n26,74,7.0,0.5,7.0,0.5,1
p0n30,81,7.5,0.5,7.5,0.5,1
p0n32,55,8.0,1.0,8.0,1.0,5
p0n33,59,8.0,1.0,8.0,1.0,5
p0n34,65,8.0,1.0,8.0,1.0,5
p0n31,79,8.0,0.5,8.0,0.5,1
p0n35,77,8.5,0.5,8.5,0.5,1
p0n39,48,9.0,1.0,9.0,1.0,5
p0n36,76,9.0,0.0,9.0,0.0,1
p0n38,76,9.0,0.5,9.0,0.5,1
p0n37,77,9.0,0.0,9.0,0.0,1
p0n40,75,9.5,0.5,9.5,0.5,1
p0n42,55,10.0,1.0,10.0,1.0,5
p0n43,60,10.0,1.0,10.0,1.0,5
p0n44,64,10.0,1.0,10.0,1.0,5
p0n41,76,10.0,2.0,10.0,2.0,1
p0n45,55,11.0,1.0,11.0,1.0,5
