id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
P05_p5n3,48,0.0,0.5,0.0,0.5,5
P05_p5n4,55,0.0,0.5,0.0,0.5,5
P05_p5n5,60,0.0,0.5,0.0,0.5,5
P04_p4n0,60,0.0,0.75,0.0,0.75,1
P05_p5n0,64,0.0,0.5,0.0,0.5,1
P03_p3n0,64,0.0,0.75,0.0,0.75,1
P05_p5n1,67,0.0,0.5,0.0,0.5,1
P02_p2n0,67,0.0,0.75,0.0,0.75,1
P05_p5n2,72,0.0,0.5,0.0,0.5,1
P01_p1n0,72,0.0,0.75,0.0,0.75,1
P04_p4n1,60,0.75,0.75,0.75,0.75,1
P03_p3n1,64,0.75,0.75,0.75,0.75,1
P02_p2n1,67,0.75,0.75,0.75,0.75,1
P01_p1n1,72,0.75,0.75,0.75,0.75,1
P05_p5n13,48,1.5,0.5,1.5,0.5,5
P05_p5n14,55,1.5,0.5,1.5,0.5,5
P05_p5n15,60,1.5,0.5,1.5,0.5,5
P04_p4n3,60,1.5,0.5,1.5,0.5,1
P05_p5n10,64,1.5,0.5,1.5,0.5,1
P03_p3n3,64,1.5,0.5,1.5,0.5,1
P05_p5n11,67,1.5,0.5,1.5,0.5,1
P02_p2n3,67,1.5,0.5,1.5,0.5,1
P05_p5n12,72,1.5,0.5,1.5,0.5,1
P01_p1n3,72,1.5,0.5,1.5,0.5,1
P05_p5n20,46,2.0,0.5,2.0,0.5,5
P05_p5n21,53,2.0,0.5,2.0,0.5,5
P05_p5n22,58,2.0,0.5,2.0,0.5,5
P05_p5n16,61,2.0,0.5,2.0,0.5,1
P05_p5n17,65,2.0,0.5,2.0,0.5,1
P05_p5n18,68,2.0,0.5,2.0,0.5,1
P05_p5n19,73,2.0,0.5,2.0,0.5,1
P04_p4n5,58,2.5,0.25,2.5,0.25,1
P03_p3n5,65,2.5,0.25,2.5,0.25,1
P02_p2n5,68,2.5,0.25,2.5,0.25,1
P01_p1n5,73,2.5,0.25,2.5,0.25,1
P04_p4n6,58,2.75,0.25,2.75,0.25,1
P03_p3n6,65,2.75,0.25,2.75,0.25,1
P02_p2n6,68,2.75,0.25,2.75,0.25,1
P01_p1n6,73,2.75,0.25,2.75,0.25,1
P04_p4n7,58,3.0,0.5,3.0,0.5,1
P03_p3n7,65,3.0,0.5,3.0,0.5,1
P02_p2n7,68,3.0,0.5,3.0,0.5,1
P01_p1n7,73,3.0,0.5,3.0,0.5,1
P04_p4n8,58,3.5,0.5,3.5,0.5,1
P03_p3n8,58,3.5,0.5,3.5,0.5,1
P02_p2n8,68,3.5,0.5,3.5,0.5,1
P01_p1n8,73,3.5,0.5,3.5,0.5,1
P05_p5n31,44,4.0,0.5,4.0,0.5,5
P05_p5n32,51,4.0,0.5,4.0,0.5,5
P05_p5n33,56,4.0,0.5,4.0,0.5,5
P04_p4n9,56,4.0,0.75,4.0,0.75,1
P05_p5n27,60,4.0,0.5,4.0,0.5,1
P05_p5n28,63,4.0,0.5,4.0,0.5,1
P03_p3n9,63,4.0,0.75,4.0,0.75,1
P05_p5n29,67,4.0,0.5,4.0,0.5,1
P02_p2n9,67,4.0,0.75,4.0,0.75,1
P05_p5n30,72,4.0,0.5,4.0,0.5,1
P01_p1n9,72,4.0,0.75,4.0,0.75,1
P04_p4n10,56,4.75,1.25,4.75,1.25,1
P03_p3n10,63,4.75,1.25,4.75,1.25,1
P02_p2n10,67,4.75,1.25,4.75,1.25,1
P01_p1n10,72,4.75,1.25,4.75,1.25,1
P05_p5n42,44,5.5,0.5,5.5,0.5,5
P05_p5n43,51,5.5,0.5,5.5,0.5,5
P05_p5n44,56,5.5,0.5,5.5,0.5,5
P05_p5n38,60,5.5,0.5,5.5,0.5,1
P05_p5n39,63,5.5,0.5,5.5,0.5,1
P05_p5n40,67,5.5,0.5,5.5,0.5,1
P05_p5n41,72,5.5,0.5,5.5,0.5,1
P05_p5n49,45,6.0,0.5,6.0,0.5,5
P05_p5n50,50,6.0,0.5,6.0,0.5,5
P05_p5n51,57,6.0,0.5,6.0,0.5,5
P05_p5n45,62,6.0,0.5,6.0,0.5,1
P05_p5n46,66,6.0,0.5,6.0,0.5,1
P05_p5n47,69,6.0,0.5,6.0,0.5,1
P05_p5n48,74,6.0,0.5,6.0,0.5,1
P04_p4n13,57,6.5,0.25,6.5,0.25,1
P03_p3n13,62,6.5,0.25,6.5,0.25,1
P02_p2n13,66,6.5,0.25,6.5,0.25,1
P01_p1n13,74,6.5,0.25,6.5,0.25,1
P04_p4n14,57,6.75,0.25,6.75,0.25,1
P03_p3n14,62,6.75,0.25,6.75,0.25,1
P02_p2n14,66,6.75,0.25,6.75,0.25,1
P01_p1n14,74,6.75,0.25,6.75,0.25,1
P04_p4n15,57,7.0,0.5,7.0,0.5,1
P03_p3n15,62,7.0,0.5,7.0,0.5,1
P02_p2n15,66,7.0,0.5,7.0,0.5,1
P01_p1n15,74,7.0,0.5,7.0,0.5,1
P04_p4n16,50,7.5,0.5,7.5,0.5,1
P03_p3n16,57,7.5,0.5,7.5,0.5,1
P02_p2n16,66,7.5,0.5,7.5,0.5,1
P01_p1n16,74,7.5,0.5,7.5,0.5,1
P05_p5n60,41,8.0,1.5,8.0,1.5,5
