path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,42
43,43,43
44,44,44
45,45,45
46,46,45
47,47,46
48,48,47
49,49,48
50,50,49
51,51,50
52,52,51
53,53,52
54,54,53
55,55,54
56,56,55
57,57,56
58,58,57
59,59,58
60,60,59
61,61,60
62,62,61
63,63,62
64,64,63
65,65,64
66,66,65
67,67,66
68,68,67
69,69,68
70,70,69
71,71,70
72,72,71
73,73,72
74,74,73
75,75,74
76,76,75
77,77,76
78,78,77
79,79,78
80,80,79
81,81,80
82,82,81
83,83,82
84,84,83
85,85,84
86,86,85
87,87,86
88,88,87
89,89,88
90,90,89
91,91,90
92,92,91
93,93,92
94,94,93
95,95,94
96,96,95
97,97,96
98,98,97
99,99,98
100,100,99
101,101,100
102,102,101
103,103,101
104,104,101
105,105,101
106,106,101
107,107,101
108,108,101
109,109,101
110,110,101
111,111,101
112,112,101
113,113,101
114,114,101
115,115,101
116,116,101
117,117,101
118,118,101
119,119,101
120,120,101
121,121,102
122,122,103
123,123,104
124,124,105
125,125,106
126,126,107
127,127,108
128,128,109
129,129,110
130,130,111
131,131,112
132,132,113
133,133,114
134,134,115
135,135,116
136,136,117
137,137,118
138,138,119
139,139,120
140,140,121
141,141,122
142,142,123
143,143,124
144,144,125
145,145,126
146,146,126
147,147,126
148,148,126
149,149,126
150,150,126
151,151,126
152,152,126
153,153,127
154,154,128
155,155,129
156,156,130
157,157,131
158,158,132
159,159,133
160,160,134
161,161,135
162,162,136
163,163,137
164,164,138
165,165,139
166,166,140
167,167,141
168,168,142
169,169,143
170,170,144
171,171,145
172,172,146
173,173,146
174,174,146
175,175,146
176,176,146
177,177,146
178,178,146
179,179,146
180,180,146
181,181,146
182,182,146
183,183,146
184,184,146
185,185,146
186,186,146
187,187,146
188,188,146
189,189,146
190,190,146
191,191,146
192,192,146
193,193,146
194,194,146
195,195,146
196,196,146
197,197,146
198,198,146
199,199,146
200,200,146
201,201,147
202,202,148
203,203,149
204,204,150
205,205,151
206,206,152
207,207,153
208,208,154
209,209,155
210,210,156
211,211,157
212,212,158
213,213,159
214,214,160
215,215,161
216,216,162
217,217,163
218,218,164
219,219,165
220,220,166
221,221,167
222,222,168
223,223,169
224,224,170
225,225,171
226,226,172
227,227,173
228,228,174
229,229,175
230,230,176
231,231,177
232,232,178
233,233,179
234,234,180
235,235,181
236,236,182
237,237,183
238,238,184
239,239,185
240,240,186
241,241,187
242,242,188
243,243,188
244,244,188
245,245,188
246,246,188
247,247,188
248,248,188
249,249,188
250,250,189
251,251,190
252,252,191
253,253,192
254,254,193
255,255,194
256,256,195
257,257,196
258,258,197
259,259,198
260,260,199
261,261,200
262,262,201
263,263,202
264,264,203
265,265,204
266,266,205
267,267,206
268,268,207
269,269,208
270,270,209
271,271,210
272,272,211
273,273,212
274,274,213
275,275,214
276,276,215
277,277,216
278,278,217
279,279,218
280,280,219
281,281,219
282,282,219
283,283,219
284,284,219
285,285,219
286,286,219
287,287,219
288,288,219
289,289,219
290,290,219
291,291,219
292,292,219
293,293,219
294,294,219
295,295,219
296,296,219
297,297,219
298,298,219
299,299,219
300,300,219
301,301,220
302,302,221
303,303,222
304,304,223
305,305,224
306,306,225
307,307,226
308,308,227
309,309,228
310,310,229
311,311,230
312,312,231
313,313,232
314,314,233
315,315,234
316,316,235
317,317,236
318,318,237
319,319,238
320,320,239
321,321,240
322,322,241
323,323,242
324,324,243
325,325,244
326,326,245
327,327,246
328,328,247
329,329,248
330,330,248
331,331,248
332,332,248
333,333,248
334,334,248
335,335,248
336,336,248
337,337,248
338,338,248
339,339,248
340,340,248
341,341,248
342,342,248
343,343,248
344,344,248
345,345,248
346,346,248
347,347,248
348,348,248
349,349,248
350,350,248
351,351,248
352,352,248
353,353,248
354,354,248
355,355,248
356,356,248
357,357,248
358,358,249
359,359,250
360,360,251
361,361,252
362,362,253
363,363,254
364,364,255
365,365,256
366,366,257
367,367,258
368,368,259
369,369,260
370,370,261
371,371,262
372,372,263
373,373,264
374,374,265
375,375,266
376,376,267
377,377,268
378,378,269
379,379,270
380,380,271
381,381,272
382,382,273
383,383,274
384,384,275
385,385,276
386,386,277
387,387,278
388,388,279
389,389,280
390,390,281
391,391,282
392,392,283
393,393,284
394,394,285
395,395,286
396,396,287
397,397,288
398,398,289
399,399,290
400,400,291
401,401,292
402,402,293
403,403,294
404,404,295
405,405,296
406,406,297
407,407,298
408,408,299
409,409,300
410,410,301
411,411,302
412,412,303
413,413,303
414,414,304
415,415,305
416,416,306
417,417,307
418,418,308
419,419,309
420,420,310
421,421,311
422,422,312
423,423,313
424,424,313
425,425,313
426,426,313
427,427,313
428,428,313
429,429,313
430,430,313
431,431,313
432,432,313
433,433,313
434,434,313
435,435,313
436,436,313
437,437,313
438,438,313
439,439,313
440,440,313
441,441,313
442,442,313
443,443,313
444,444,313
445,445,313
446,446,313
447,447,313
448,448,313
449,449,313
450,450,314
451,451,315
452,452,316
453,453,317
454,454,318
455,455,319
456,456,320
457,457,321
458,458,322
459,459,323
460,460,324
461,461,325
462,462,326
463,463,327
464,464,328
465,465,329
466,466,330
467,467,331
468,468,332
469,469,333
470,470,334
471,471,335
472,472,336
473,473,337
474,474,338
475,475,339
476,476,340
477,477,341
478,478,342
479,479,343
480,480,344
481,481,345
482,482,346
483,483,347
484,484,348
485,485,348
486,486,348
487,487,348
488,488,348
489,489,348
490,490,348
491,491,348
492,492,348
493,493,348
494,494,348
495,495,349
496,496,350
497,497,351
498,498,352
499,499,353
500,500,354
501,501,355
502,502,356
503,503,356
504,504,356
505,505,356
506,506,356
507,507,356
508,508,357
509,509,358
510,510,359
511,511,360
512,512,361
513,513,362
514,514,363
515,515,364
516,516,365
517,517,366
518,518,367
519,519,368
520,520,369
521,521,370
522,522,371
523,523,372
524,524,373
525,525,374
526,526,375
527,527,376
528,528,377
529,529,378
530,530,379
531,531,380
532,532,381
533,533,382
534,534,383
535,535,384
536,536,385
537,537,386
538,538,387
539,539,388
540,540,389
541,541,389
542,542,389
543,543,389
544,544,389
545,545,389
546,546,389
547,547,389
548,548,389
549,549,389
550,550,389
551,551,389
552,552,389
553,553,389
554,554,389
555,555,389
556,556,389
557,557,390
558,558,391
559,559,392
560,560,393
561,561,394
562,562,395
563,563,396
564,564,397
565,565,398
566,566,399
567,567,400
568,568,400
569,569,401
570,570,402
571,571,403
572,572,404
573,573,405
574,574,406
575,575,407
576,576,408
577,577,409
578,578,409
579,579,409
580,580,410
581,581,410
582,582,410
583,583,410
584,584,410
585,585,410
586,586,410
587,587,410
588,588,410
589,589,411
590,590,412
591,591,413
592,592,414
593,593,414
594,594,414
595,595,414
596,596,414
597,597,415
598,598,416
599,599,417
600,600,418
601,601,419
602,602,420
603,603,421
604,604,422
605,605,423
606,606,424
607,607,425
608,608,426
609,609,427
610,610,428
611,611,429
612,612,430
613,613,431
614,614,432
615,615,433
616,616,434
617,617,435
618,618,436
619,619,437
620,620,438
621,621,439
622,622,440
623,623,441
624,624,441
625,625,441
626,626,441
627,627,441
628,628,441
629,629,441
630,630,441
