id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
P05_p5n3,48,0.0,1.5,0.0,1.5,5
P04_p4n0,48,0.0,1.0,0.0,1.0,1
P03_p3n0,55,0.0,1.0,0.0,1.0,1
P05_p5n4,55,0.0,1.5,0.0,1.5,5
P05_p5n5,60,0.0,1.5,0.0,1.5,5
P05_p5n0,63,0.0,1.5,0.0,1.5,1
P02_p2n0,63,0.0,1.0,0.0,1.0,1
P05_p5n1,67,0.0,1.5,0.0,1.5,1
P01_p1n0,72,0.0,1.0,0.0,1.0,1
P05_p5n2,72,0.0,1.5,0.0,1.5,1
P04_p4n1,48,1.0,0.5,1.0,0.5,1
P03_p3n1,55,1.0,0.5,1.0,0.5,1
P02_p2n1,63,1.0,0.5,1.0,0.5,1
P01_p1n1,72,1.0,0.5,1.0,0.5,1
P05_p5n9,48,1.5,1.5,1.5,1.5,5
P04_p4n2,48,1.5,1.5,1.5,1.5,1
P03_p3n2,55,1.5,1.5,1.5,1.5,1
P05_p5n10,55,1.5,1.5,1.5,1.5,5
P05_p5n11,60,1.5,1.5,1.5,1.5,5
P05_p5n6,63,1.5,1.5,1.5,1.5,1
P02_p2n2,63,1.5,1.5,1.5,1.5,1
P05_p5n7,67,1.5,1.5,1.5,1.5,1
P05_p5n8,72,1.5,1.5,1.5,1.5,1
P01_p1n2,72,1.5,1.5,1.5,1.5,1
P05_p5n15,48,3.0,1.0,3.0,1.0,5
P04_p4n3,48,3.0,1.0,3.0,1.0,1
P05_p5n16,55,3.0,1.0,3.0,1.0,5
P03_p3n3,55,3.0,1.0,3.0,1.0,1
P05_p5n17,60,3.0,1.0,3.0,1.0,5
P05_p5n12,63,3.0,1.0,3.0,1.0,1
P02_p2n3,63,3.0,1.0,3.0,1.0,1
P05_p5n13,67,3.0,1.0,3.0,1.0,1
P01_p1n3,72,3.0,1.0,3.0,1.0,1
P05_p5n14,72,3.0,1.0,3.0,1.0,1
P04_p4n4,48,4.0,1.0,4.0,1.0,1
P05_p5n21,48,4.0,1.5,4.0,1.5,5
P03_p3n4,56,4.0,1.0,4.0,1.0,1
