id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
P02_p2n3,50,6.0,1.0,6.0,1.0,1
P00_p0n3,54,6.0,15.5,6.0,15.5,1
P02_p2n5,57,8.0,1.0,8.0,1.0,1
P02_p2n6,50,9.0,0.5,9.0,0.5,1
P02_p2n7,50,9.5,0.5,9.5,0.5,1
P02_p2n8,50,10.0,1.0,10.0,1.0,1
P02_p2n10,57,12.0,0.6666666865348816,12.0,0.6666666865348816,1
P02_p2n11,50,12.666666984558105,0.6666666865348816,12.666666984558105,0.6666666865348816,1
P02_p2n12,50,13.333333015441895,0.6666666865348816,13.333333015441895,0.6666666865348816,1
P02_p2n13,50,14.0,1.0,14.0,1.0,1
P01_p1n7,50,14.0,7.5,14.0,7.5,1
P02_p2n15,57,16.0,1.0,16.0,1.0,1
P02_p2n16,50,17.0,0.5,17.0,0.5,1
P02_p2n17,50,17.5,0.5,17.5,0.5,1
P02_p2n18,50,18.0,1.0,18.0,1.0,1
P02_p2n20,57,20.0,0.6666666865348816,20.0,0.6666666865348816,1
P02_p2n21,50,20.66666603088379,0.6666666865348816,20.66666603088379,0.6666666865348816,1
P02_p2n22,50,21.33333396911621,0.6666666865348816,21.33333396911621,0.6666666865348816,1
P02_p2n23,50,22.0,1.0,22.0,1.0,1
P01_p1n12,50,22.0,1.0,22.0,1.0,1
P00_p0n12,54,22.0,0.6666666865348816,22.0,0.6666666865348816,1
P00_p0n13,54,22.66666603088379,0.6666666865348816,22.66666603088379,0.6666666865348816,1
P00_p0n14,52,23.33333396911621,0.6666666865348816,23.33333396911621,0.6666666865348816,1
P00_p0n15,57,24.0,1.0,24.0,1.0,1
P02_p2n25,57,24.0,1.0,24.0,1.0,1
P02_p2n26,50,25.0,0.5,25.0,0.5,1
P00_p0n16,56,25.0,1.0,25.0,1.0,1
P02_p2n27,50,25.5,0.5,25.5,0.5,1
P02_p2n28,50,26.0,1.0,26.0,1.0,1
P00_p0n17,54,26.0,1.0,26.0,1.0,1
P00_p0n18,52,27.0,1.0,27.0,1.0,1
P00_p0n19,50,28.0,1.5,28.0,1.5,1
P02_p2n30,57,28.0,0.6666666865348816,28.0,0.6666666865348816,1
P02_p2n31,50,28.66666603088379,0.6666666865348816,28.66666603088379,0.6666666865348816,1
P02_p2n32,50,29.33333396911621,0.6666666865348816,29.33333396911621,0.6666666865348816,1
P02_p2n33,50,30.0,1.0,30.0,1.0,1
P01_p1n17,50,30.0,1.0,30.0,1.0,1
P00_p0n21,57,30.0,0.6666666865348816,30.0,0.6666666865348816,1
P00_p0n22,57,30.66666603088379,0.6666666865348816,30.66666603088379,0.6666666865348816,1
P00_p0n23,57,31.33333396911621,0.6666666865348816,31.33333396911621,0.6666666865348816,1
P01_p1n19,50,32.0,1.0,32.0,1.0,1
P02_p2n35,57,32.0,1.0,32.0,1.0,1
P00_p0n24,57,32.0,1.0,32.0,1.0,1
P02_p2n36,50,33.0,0.5,33.0,0.5,1
P01_p1n20,50,33.0,1.0,33.0,1.0,1
P00_p0n25,54,33.0,1.0,33.0,1.0,1
P02_p2n37,50,33.5,0.5,33.5,0.5,1
P02_p2n38,50,34.0,1.0,34.0,1.0,1
P01_p1n21,52,34.0,0.5,34.0,0.5,1
P00_p0n26,56,34.0,0.5,34.0,0.5,1
P01_p1n22,50,34.5,0.5,34.5,0.5,1
P00_p0n27,57,34.5,0.5,34.5,0.5,1
P01_p1n23,52,35.0,1.0,35.0,1.0,1
P00_p0n28,59,35.0,1.0,35.0,1.0,1
P02_p2n40,57,36.0,0.6666666865348816,36.0,0.6666666865348816,1
P02_p2n41,50,36.66666793823242,0.6666666865348816,36.66666793823242,0.6666666865348816,1
P02_p2n42,50,37.33333206176758,0.6666666865348816,37.33333206176758,0.6666666865348816,1
P02_p2n43,50,38.0,1.0,38.0,1.0,1
P01_p1n25,56,38.0,0.6666666865348816,38.0,0.6666666865348816,1
P00_p0n30,59,38.0,1.0,38.0,1.0,1
P01_p1n26,56,38.66666793823242,0.6666666865348816,38.66666793823242,0.6666666865348816,1
P01_p1n27,56,39.33333206176758,0.6666666865348816,39.33333206176758,0.6666666865348816,1
P01_p1n28,56,40.0,1.0,40.0,1.0,1
P02_p2n45,57,40.0,1.0,40.0,1.0,1
P00_p0n32,59,40.0,1.0,40.0,1.0,1
P02_p2n46,50,41.0,0.5,41.0,0.5,1
P01_p1n29,52,41.0,1.0,41.0,1.0,1
P00_p0n33,61,41.0,1.0,41.0,1.0,1
P02_p2n47,50,41.5,0.5,41.5,0.5,1
P02_p2n48,50,42.0,1.0,42.0,1.0,1
P01_p1n30,54,42.0,0.5,42.0,0.5,1
P00_p0n34,57,42.0,0.5,42.0,0.5,1
P01_p1n31,56,42.5,0.5,42.5,0.5,1
P00_p0n35,56,42.5,0.5,42.5,0.5,1
P00_p0n36,57,43.0,1.0,43.0,1.0,1
P01_p1n32,57,43.0,1.0,43.0,1.0,1
P01_p1n33,54,44.0,0.6666666865348816,44.0,0.6666666865348816,1
P00_p0n37,54,44.0,0.6666666865348816,44.0,0.6666666865348816,1
P02_p2n50,57,44.0,0.6666666865348816,44.0,0.6666666865348816,1
P02_p2n51,50,44.66666793823242,0.6666666865348816,44.66666793823242,0.6666666865348816,1
P01_p1n34,54,44.66666793823242,0.6666666865348816,44.66666793823242,0.6666666865348816,1
P00_p0n38,54,44.66666793823242,0.6666666865348816,44.66666793823242,0.6666666865348816,1
P02_p2n52,50,45.33333206176758,0.6666666865348816,45.33333206176758,0.6666666865348816,1
P00_p0n39,52,45.33333206176758,0.6666666865348816,45.33333206176758,0.6666666865348816,1
P01_p1n35,52,45.33333206176758,0.6666666865348816,45.33333206176758,0.6666666865348816,1
P02_p2n53,50,46.0,1.0,46.0,1.0,1
P00_p0n40,57,46.0,1.0,46.0,1.0,1
P01_p1n36,57,46.0,1.0,46.0,1.0,1
P01_p1n37,56,47.0,1.0,47.0,1.0,1
P00_p0n41,56,47.0,1.0,47.0,1.0,1
P01_p1n38,54,48.0,1.0,48.0,1.0,1
P00_p0n42,54,48.0,1.0,48.0,1.0,1
