id,pitch,onset_beat,duration_beat,onset_quarter,duration_quarter,voice
P07_p7n0,52,0.0,1.0,0.0,1.0,1
P06_p6n0,55,0.0,1.0,0.0,1.0,1
P04_p4n0,59,0.0,1.0,0.0,1.0,1
P05_p5n0,59,0.0,1.0,0.0,1.0,1
P03_p3n0,64,0.0,1.0,0.0,1.0,1
P02_p2n0,64,0.0,1.0,0.0,1.0,1
P07_p7n1,52,1.0,0.5,1.0,0.5,1
P06_p6n1,55,1.0,0.5,1.0,0.5,1
P04_p4n1,59,1.0,0.5,1.0,0.5,1
P05_p5n1,59,1.0,0.5,1.0,0.5,1
P03_p3n1,64,1.0,0.5,1.0,0.5,1
P02_p2n1,64,1.0,0.5,1.0,0.5,1
P07_p7n2,52,1.5,0.5,1.5,0.5,1
P06_p6n2,55,1.5,0.5,1.5,0.5,1
P04_p4n2,59,1.5,0.5,1.5,0.5,1
P05_p5n2,59,1.5,0.5,1.5,0.5,1
P03_p3n2,64,1.5,0.5,1.5,0.5,1
P02_p2n2,64,1.5,0.5,1.5,0.5,1
P07_p7n3,52,2.0,0.5,2.0,0.5,1
P06_p6n3,55,2.0,0.5,2.0,0.5,1
P04_p4n3,59,2.0,0.5,2.0,0.5,1
P05_p5n3,59,2.0,0.5,2.0,0.5,1
P03_p3n3,64,2.0,0.5,2.0,0.5,1
P02_p2n3,64,2.0,0.5,2.0,0.5,1
P07_p7n4,52,2.5,0.5,2.5,0.5,1
P06_p6n4,55,2.5,0.5,2.5,0.5,1
P04_p4n4,59,2.5,0.5,2.5,0.5,1
P05_p5n4,59,2.5,0.5,2.5,0.5,1
P03_p3n4,64,2.5,0.5,2.5,0.5,1
P02_p2n4,64,2.5,0.5,2.5,0.5,1
P07_p7n5,52,3.0,0.5,3.0,0.5,1
P06_p6n5,55,3.0,0.5,3.0,0.5,1
P04_p4n5,59,3.0,0.5,3.0,0.5,1
P05_p5n5,59,3.0,0.5,3.0,0.5,1
P03_p3n5,64,3.0,0.5,3.0,0.5,1
P02_p2n5,64,3.0,0.5,3.0,0.5,1
P07_p7n6,52,3.5,0.5,3.5,0.5,1
P06_p6n6,55,3.5,0.5,3.5,0.5,1
P04_p4n6,59,3.5,0.5,3.5,0.5,1
P05_p5n6,59,3.5,0.5,3.5,0.5,1
