song,label,score_time,audio_time_ref,audio_time_pred,error_seconds,absolute_error_seconds,valid,note
palenocka-live,takt_102,202.0,88.17,88.35192743764172,0.18192743764171837,0.18192743764171837,True,začiatok taktu 102
palenocka-live,takt_103,204.0,89.122,90.97578231292518,1.8537823129251763,1.8537823129251763,True,začiatok taktu 103
palenocka-live,takt_104,206.0,89.848,92.90303854875283,3.055038548752833,3.055038548752833,True,začiatok taktu 104
palenocka-live,takt_105,208.0,90.664,94.76063492063491,4.096634920634912,4.096634920634912,True,začiatok taktu 105
palenocka-live,takt_106,210.0,91.345,95.96807256235827,4.623072562358274,4.623072562358274,True,začiatok taktu 106
palenocka-live,takt_107,212.0,91.934,97.3148299319728,5.380829931972798,5.380829931972798,True,začiatok taktu 107
palenocka-live,takt_108,214.0,92.33,98.70802721088435,6.378027210884355,6.378027210884355,True,začiatok taktu 108
palenocka-live,takt_109,216.0,93.055,100.00060468631898,6.945604686318973,6.945604686318973,True,začiatok taktu 109
palenocka-live,takt_110,218.0,93.872,101.12290249433106,7.250902494331058,7.250902494331058,True,začiatok taktu 110
palenocka-live,takt_111,220.0,94.843,102.58575963718822,7.742759637188215,7.742759637188215,True,začiatok taktu 111
