path_idx,score_frame_idx,audio_frame_idx
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,13
15,15,13
16,16,13
17,17,13
18,18,13
19,19,13
20,20,13
21,21,13
22,22,13
23,23,13
24,24,13
25,25,13
26,26,13
27,27,13
28,28,13
29,29,13
30,30,13
31,31,13
32,32,13
33,33,13
34,34,13
35,35,13
36,36,13
37,37,13
38,38,13
39,39,13
40,40,13
41,41,13
42,42,13
43,43,13
44,44,13
45,45,13
46,46,13
47,47,13
48,48,13
49,49,13
50,50,13
51,51,13
52,52,13
53,53,13
54,54,13
55,55,13
56,56,13
57,57,13
58,58,13
59,59,13
60,60,13
61,61,13
62,62,13
63,63,13
64,64,13
65,65,13
66,66,13
67,67,13
68,68,13
69,69,13
70,70,13
71,71,13
72,72,13
73,73,13
74,74,13
75,75,13
76,76,13
77,77,13
78,78,13
79,79,13
80,80,13
81,81,13
82,82,13
83,83,13
84,84,13
85,85,13
86,86,13
87,87,13
88,88,13
89,89,13
90,90,13
91,91,13
92,92,13
93,93,13
94,94,13
95,95,13
96,96,13
97,97,13
98,98,13
99,99,13
100,100,13
101,101,13
102,102,13
103,103,13
104,104,13
105,105,13
106,106,13
107,107,13
108,108,13
109,109,13
110,110,13
111,111,13
112,112,13
113,113,13
114,114,13
115,115,13
116,116,13
117,117,13
118,118,13
119,119,13
120,120,13
121,121,13
122,122,13
123,123,13
124,124,13
125,125,13
126,126,13
127,127,13
128,128,13
129,129,13
130,130,13
131,131,13
132,132,13
133,133,13
134,134,13
135,135,13
136,136,13
137,137,13
138,138,13
139,139,13
140,140,13
141,141,13
142,142,13
143,143,13
144,144,13
145,145,13
146,146,13
147,147,13
148,148,13
149,149,13
150,150,13
151,151,13
152,152,13
153,153,13
154,154,13
155,155,13
156,156,13
157,157,13
158,158,13
159,159,13
160,160,13
161,161,13
162,162,13
163,163,13
164,164,13
165,165,13
166,166,13
167,167,13
168,168,14
169,169,15
170,170,16
171,171,17
172,172,18
173,173,19
174,174,20
175,175,21
176,176,22
177,177,23
178,178,24
179,179,25
180,180,26
181,181,27
182,182,28
183,183,29
184,184,30
185,185,31
186,186,32
187,187,33
188,188,34
189,189,35
190,190,36
191,191,37
192,192,38
193,193,39
194,194,40
195,195,41
196,196,42
197,197,43
198,198,44
199,199,45
200,200,46
201,201,47
202,202,48
203,203,49
204,204,50
205,205,51
206,206,52
207,207,53
208,208,54
209,209,55
210,210,56
211,211,57
212,212,58
213,213,59
214,214,60
215,215,61
216,216,62
217,217,63
218,218,64
219,219,65
220,220,66
221,221,67
222,222,68
223,223,69
224,224,70
225,225,71
226,226,72
227,227,73
228,228,74
229,229,75
230,230,76
231,231,77
232,232,78
233,233,79
234,234,80
235,235,81
236,236,82
237,237,83
238,238,84
239,239,85
240,240,86
241,241,87
242,242,88
243,243,89
244,244,90
245,245,91
246,246,92
247,247,93
248,248,94
249,249,95
250,250,96
251,251,97
252,252,98
253,253,99
254,254,100
255,255,101
256,256,102
257,257,103
258,258,104
259,259,105
260,260,106
261,261,107
262,262,108
263,263,109
264,264,110
265,265,111
266,266,112
267,267,113
268,268,114
269,269,115
270,270,116
271,271,117
272,272,118
273,273,119
274,274,120
275,275,121
276,276,122
277,277,123
278,278,124
279,279,125
280,280,126
281,281,127
282,282,128
283,283,129
284,284,130
285,285,131
286,286,132
287,287,133
288,288,134
289,289,135
290,290,136
291,291,137
292,292,138
293,293,139
294,294,140
295,295,141
296,296,142
297,297,143
298,298,144
299,299,145
300,300,146
301,301,147
302,302,148
303,303,149
304,304,150
305,305,151
306,306,152
307,307,153
308,308,154
309,309,155
310,310,156
311,311,157
312,312,158
313,313,159
314,314,160
315,315,161
316,316,162
317,317,163
318,318,164
319,319,165
320,320,166
321,321,167
322,322,168
323,323,169
324,324,170
325,325,171
326,326,172
327,327,173
328,328,174
329,329,175
330,330,176
331,331,177
332,332,178
333,333,179
334,334,180
335,335,181
336,336,182
337,337,183
338,338,184
339,339,185
340,340,186
341,341,187
342,342,187
343,343,187
344,344,187
345,345,187
346,346,187
347,347,187
348,348,187
349,349,187
350,350,187
351,351,187
352,352,187
353,353,187
354,354,187
355,355,187
356,356,187
357,357,187
358,358,188
359,359,189
360,360,190
361,361,191
362,362,192
363,363,193
364,364,193
365,365,193
366,366,193
367,367,193
368,368,193
369,369,193
370,370,193
371,371,193
372,372,193
373,373,193
374,374,194
375,375,195
376,376,196
377,377,197
378,378,198
379,379,199
380,380,200
381,381,201
382,382,202
383,383,203
384,384,204
385,385,205
386,386,206
387,387,207
388,388,208
389,389,209
390,390,210
391,391,211
392,392,212
393,393,213
394,394,214
395,395,215
396,396,216
397,397,217
398,398,218
399,399,219
400,400,220
401,401,221
402,402,222
403,403,223
404,404,224
405,405,225
406,406,226
407,407,227
408,408,228
409,409,229
410,410,230
411,411,231
412,412,232
413,413,233
414,414,234
415,415,235
416,416,235
417,417,235
418,418,235
419,419,235
420,420,235
421,421,235
422,422,235
423,423,235
424,424,235
425,425,235
426,426,235
427,427,235
428,428,235
429,429,235
430,430,235
431,431,235
432,432,235
433,433,235
434,434,235
435,435,235
436,436,235
437,437,235
438,438,235
439,439,235
440,440,236
441,441,237
442,442,237
443,443,237
444,444,237
445,445,237
446,446,237
447,447,237
448,448,237
449,449,237
450,450,237
451,451,237
452,452,237
453,453,237
454,454,237
455,455,237
456,456,237
457,457,237
458,458,237
459,459,237
460,460,237
461,461,237
462,462,237
463,463,237
464,464,237
465,465,237
466,466,237
467,467,237
468,468,237
469,469,237
470,470,237
471,471,237
472,472,237
473,473,238
474,474,239
475,475,240
476,476,241
477,477,242
478,478,243
479,479,244
480,480,245
481,481,246
482,482,247
483,483,248
484,484,249
485,485,250
486,486,251
487,487,252
488,488,253
489,489,254
490,490,255
491,491,256
492,492,257
493,493,258
494,494,259
495,495,260
496,496,261
497,497,262
498,498,262
499,499,262
500,500,262
501,501,262
502,502,262
503,503,262
504,504,262
505,505,262
506,506,262
507,507,262
508,508,262
509,509,262
510,510,263
511,511,264
512,512,265
513,513,266
514,514,267
515,515,268
516,516,269
517,517,270
518,518,271
519,519,272
520,520,273
521,521,274
522,522,275
523,523,276
524,524,277
525,525,278
526,526,279
527,527,280
528,528,281
529,529,282
530,530,283
531,531,284
532,532,285
533,533,286
534,534,287
535,535,288
536,536,289
537,537,290
538,538,291
539,539,291
540,540,291
541,541,291
542,542,291
543,543,292
544,544,293
545,545,294
546,546,295
547,547,296
548,548,297
549,549,298
550,550,299
551,551,300
552,552,301
553,553,302
554,554,303
555,555,304
556,556,305
557,557,306
558,558,307
559,559,308
560,560,309
561,561,310
562,562,311
563,563,312
564,564,313
565,565,314
566,566,314
567,567,314
568,568,314
569,569,314
570,570,314
571,571,314
572,572,314
573,573,314
574,574,314
575,575,314
576,576,314
577,577,314
578,578,314
579,579,314
580,580,314
581,581,314
582,582,314
583,583,314
584,584,314
585,585,314
586,586,314
587,587,314
588,588,314
589,589,314
590,590,314
591,591,314
592,592,314
593,593,314
594,594,314
595,595,314
596,596,314
597,597,314
598,598,315
599,599,316
600,600,317
601,601,318
602,602,319
603,603,320
604,604,321
605,605,322
606,606,323
607,607,324
608,608,325
609,609,326
610,610,327
611,611,328
612,612,329
613,613,330
614,614,331
615,615,332
616,616,332
617,617,332
618,618,332
619,619,332
620,620,332
621,621,332
622,622,332
623,623,332
624,624,332
625,625,332
626,626,332
627,627,332
628,628,332
629,629,332
630,630,332
